handle,text
RepMcCaul,"As if 2.7M illegal encounters at our border hasn’t been enough during the Biden presidency, one of the largest migrant caravans in history is heading for our southern border, claiming @POTUS promised them asylum. This is Biden’s border crisis, and it’s time for him to address it. https://t.co/MoNZDdp2ox"
RepMcCaul,Tune in!🚨 I’m joining @Varneyco on @FoxBusiness now to discuss the southern border crisis and potential strain on the energy grid in Texas this summer.
RepMcCaul,"78 years ago, on this day in 1944, over a hundred thousand allied troops stormed the beaches of Normandy, France, marking the beginning of the end of Hitler's grip on Europe. Today, I remember my father and those of the Greatest Generation for their bravery and sacrifice. https://t.co/kM3O4TdSmV"
RepMcCaul,"My heart is breaking with the Tomball community today as they mourn the unthinkable loss of four students and their grandfather, whose lives were taken by escaped inmate Gonzalo Lopez. My prayers are with the victim's family and friends during this tragic time."
RepMcCaul,"100 days into the Russian full-scale invasion, the Ukrainians have defied all expectations in their fight for freedom and democracy. Putin’s brutality and war crimes have united freedom loving people across the world against him. We must remain unified in our support for Ukraine."
RepMcCaul,"Thank you, @FBI and @BostonChildrens for mitigating the Iranian regime’s attack on a children’s hospital. Iran must be held accountable for this despicable act, and our critical infrastructure and institutions must be defended against such vile attacks. https://t.co/3TTWXFgOhG"
RepMcCaul,"With an estimated 24.9 million victims worldwide, human traffickers continue to commit some of the worst crimes against humanity. Thankful for the agencies and authorities in Texas who worked on Operation Lost Souls and brought our kids home. https://t.co/wmlv8RbzD2"
RepMcCaul,"As one of the most rapid growing cities in the country, safe and efficient road travel should remain a top priority for Austin. Thankful for the work @TxDOTAustin has done to ensure the Loop 360 project will improve traffic flow and safety for Austin travelers! https://t.co/x8nWuIVSzq"
RepMcCaul,Congratulations to @TexasMGolf on winning the 2022 National Championship! #HookEm🤘 https://t.co/zVG6mGjnZ0
RepMcCaul,"Now that the Atlantic Hurricane Season has begun, it’s time to start preparing and developing a plan for how you can be ready when disaster strikes. Preparedness starts with you. Visit https://t.co/0dKFCxAxry for more information! https://t.co/jiU8TkBTOy"
RepMcCaul,"Thank you, @USCIS, for giving my staff a tour of your Houston facility and sharing your knowledge of the naturalization process! Grateful to know this opportunity will allow my staff to better assist my constituents in TX-10 during the process of becoming a U.S. citizen.🇺🇸 https://t.co/xs90y0efxA"
