handle,text
RepMikeQuigley,"It is our responsibility to keep gun violence front &amp; center in the media so that we can urge the Senate to join us to get life-saving legislation over the finish line. 

Saving our children can &amp; must be a unifying mission for our nation. We will not rest until the job is done."
RepMikeQuigley,"I cannot imagine the pain these parents endured.

This should not have happened. 

These children should still be here. 

These teachers should still be here.

Our laws must change. https://t.co/CVmIfqHxYM"
RepMikeQuigley,"Happy Pride to all those in Chicago! Chicago Pride is one of my favorite events and I've been honored to attend Chicago's pride parade every year for the past 30 years. 

I love to see our city getting ready to celebrate! https://t.co/PvLGtmVWdb"
RepMikeQuigley,"This week, the House will vote on two life-saving pieces of gun violence prevention legislation. 

In the coming days, we will pass the Protecting Our Children Act and the Federal Extreme Risk Protection Order Act. 

It's time to #EndGunViolence."
RepMikeQuigley,"Gas prices are out of control and Americans want to know what Congress is doing to help. 

Democrats voted to pass legislation to directly target price gouging by oil companies—not a single Republican voted for it. 

They have no plan—and no answers."
RepMikeQuigley,"We need to do more than just say, ""thank you for your service."" 
 
I voted for @RepMarkTakano’s Honoring our PACT Act because veterans living with the effects of toxic exposure cannot wait any longer for the care and benefits they've earned. Let's get this bill to @POTUS' desk."
RepMikeQuigley,"This week the Abbott plant in Michigan announced they are restarting production. 

The formula shortage has impacted parents across the nation and I hope this news and the dedicated actions of @POTUS will bring some much-needed relief for Americans with infants."
RepMikeQuigley,"Last week, I introduced a resolution to designate May as Brain Tumor Awareness Month. 

I am dedicated to bringing attention to those impacted by a brain tumor diagnosis and their families. 

We will find a better path forward."
RepMikeQuigley,"Miah Cerrillo, a 4th grader, smeared her murdered classmate's blood on herself and played dead to survive the attack in Uvalde. Miah will testify before Congress this week.

I hope her story will move those still resistant to common-sense gun control measures. Enough is enough."
RepMikeQuigley,"On this #WorldEnvironmentDay, we aren't any closer to slowing the impacts of climate change. This planet needs us to reduce our greenhouse gas emissions and slow the warming of our earth before there is no turning back. 

The next generation deserves a clean planet to call home."
RepMikeQuigley,"Guns and hate are a fatal combination. 

This #NationalGunViolenceAwarenessMonth, we must call attention to the deadly intersection of racism, white supremacy, and gun violence in America. 

White supremacy has no place in our country and in our world."
RepMikeQuigley,"Overturning Roe v. Wade won't be the end of abortion—it will be the end of SAFE, LEGAL abortions.

Protecting the right to choose means providing all women with safe, and reliable reproductive care."
RepMikeQuigley,"Thoughts and prayers are never enough. 

As mass shootings continue to pile up year after year, we need to take action to #EndGunViolence.

That means passing 
commonsense measures like @RepThompson’s HR8 to require background checks and save lives."
RepMikeQuigley,"During #NationalTrailsDay get outside and get active! 

Illinois has over 270 trails that total more than 700 miles. 

To learn more, visit https://t.co/VNBoPnpIAx"
RepMikeQuigley,"Background checks are effective, completely consistent with the Second Amendment, and are an overwhelmingly popular tool to reduce gun violence in our communities.

Responsible gun owners must stand up against gun violence."
RepMikeQuigley,"During National Gun Violence Awareness Day, I'm calling on Senate Republicans to stop lying about the solutions to gun violence and to act—act on background checks and on banning dangerous, lethal assault weapons."
RepMikeQuigley,Happy Birthday @DrBiden!🎂🥳
RepMikeQuigley,"Like Lou Gehrig, Brian has been a leader in the ALS community, and in educating the world on this disease.

Their courage and strength make them heroes.

We will #endALS for Lou, for Brian, and for all those living with this disease. #LouGehrigDay https://t.co/IvNsEbFtXX"
RepMikeQuigley,"It has been 462 days since the House passed the Equality Act. That is 462 days too long. 

It is time the Senate passes this crucial bill to protect LGBTQ+ people across the country. #Pride2022"
RepMikeQuigley,"Every day, background checks stop more than 160 felons and 50 domestic abusers from getting a gun from a federally licensed dealer.

Background checks will help save lives, and the Senate must take up legislation to expand background checks."
RepMikeQuigley,"It doesn’t have to be like this. 

@GOP how many lives will finally be too many? https://t.co/oW483rkzQJ"
RepMikeQuigley,"Happy #PrideMonth! Our nation's LGBTQ+ community is so beautiful. 

As Vice-Chair of the @LGBTEqCaucus and representative of a thriving LGBTQ+ neighborhood in Chicago, I'm committed to fighting for measures in Congress to ensure fair and equal treatment of LGBTQ+ people. https://t.co/E74iHjVzhc"
RepMikeQuigley,"We must protect a woman's right to choose.

We must protect a woman's right to choose.

We must protect a woman's right to choose."
RepMikeQuigley,"Here is your reminder that 83% of gun owners nationally support criminal background checks on all sales of firearms. 

Background checks are common sense."
RepMikeQuigley,"Every day, 30 Americans are killed by someone using a gun, and that number jumps to over 100 when suicides and accidents are factored in.

Gun violence affects everyone, and during Gun Violence Awareness Month, we must work to #EndGunViolence and keep our communities safe."
