handle,text
RepMikeRogersAL,"Gas Prices under President Biden are out of control – just as he wants. 

President Biden doesn’t want to unleash the American production of energy to lower gas prices because it would hurt his socialist Green New Deal scheme. 
https://t.co/QnJgsVHuVT"
RepMikeRogersAL,Yesterday marked @ChiefBPartridge’s 35th year of service with the @CityOfOxfordAL! Thank you for all you do for the community!
RepMikeRogersAL,Joe Biden keeps failing Americans. https://t.co/q9TrpZ3ZbE
RepMikeRogersAL,"Good luck to Talladega’s Brian Hutton and Team Alabama in this year’s Special Olympics!
https://t.co/Ta4tsML3Lm"
RepMikeRogersAL,"The UN has repeatedly proven itself to be an utterly useless organization &amp; the WHO lost all credibility when they chose to put public health second to the Chinese Communist Party.

My legislation would withdraw the U.S. from the UN &amp; WHO.
https://t.co/0FmA73NyON"
RepMikeRogersAL,"Insane. We need to secure the border now!
https://t.co/55vrTchEIu"
RepMikeRogersAL,"Yep. We have oil and natural gas here in the U.S. 

When will President Biden unleash the American production of energy? https://t.co/pmUfpnR5xe"
RepMikeRogersAL,"Today, we remember and honor the sacrifices made by the brave U.S. &amp; Allied troops who stormed the beaches of Normandy on D-Day.

“The eyes of the world are upon you. The hope and prayers of liberty-loving people everywhere march with you.” — Gen. Dwight D. Eisenhower https://t.co/uRH98fxhpR"
RepMikeRogersAL,Biden’s inflation is wreaking havoc on our economy. https://t.co/2gfUC0ojEr
RepMikeRogersAL,President Biden needs to unleash the production of American energy. https://t.co/s3Y3hFRmSA
RepMikeRogersAL,Gas prices keep climbing and President Biden still won’t unleash the production of American energy. https://t.co/PfLOXptuBG
RepMikeRogersAL,"25 percent of Americans are delaying retirement due to Biden’s inflation. President Biden continues to fail Americans. 
https://t.co/8gpDRVhkoA"
RepMikeRogersAL,"Not even the grill is safe from Biden’s inflation. 
https://t.co/4EuqhhXRqr"
