handle,text
RepMikeTurner,"My constituents, and the American people as a whole, NEED relief at the gas pump. Increasing domestic energy production and prioritizing American energy independence would be a great first step and yet @POTUS refuses to do so.

https://t.co/3mMB7LrsPT"
RepMikeTurner,I think the American people paying over $4 for a gallon of gas would disagree. https://t.co/lJPgOzhtro
RepMikeTurner,"78 years ago today, the allied forces stormed the beaches of Normandy in the fight against tyranny. May their bravery and sacrifices on D-Day never be forgotten. https://t.co/M9EcPcjSUv"
RepMikeTurner,"Securing funding for Wright-Patterson Council of Governments to continue improving the economic development and opportunities of our local communities surrounding the bases remains one of my top priorities. 

https://t.co/ryTFHEgQzk"
RepMikeTurner,"The work that is done at the Lima tank plant is even all that more important as we look to what Russia is currently doing.

https://t.co/rv1qEDspFU"
RepMikeTurner,"As the largest single-site employer in the state of Ohio, Wright-Patterson is crucial to our national defense capabilities and Ohio's economy. 

Read more on my visit with Wright-Patterson Regional Council of Governments here: 
https://t.co/s2lecsRxXV"
RepMikeTurner,"As we look to our Polish allies, who are now requesting equipment from this plant, we see very great things happening in the future and want to make sure that the Lima plant can respond to that
https://t.co/Dp63OW8Jjr"
RepMikeTurner,"The number of officers feloniously killed is at a 20 year high. 

Our law enforcement officers are on the front lines against the drug trafficking and rising crime rates overtaking our communities. Violence against them is unacceptable.

https://t.co/3JKEzeoxWm"
RepMikeTurner,"ICYMI: Assistant Army Secretary Bush and I toured the sole producer of tanks in the United States located in Lima, OH. 

Read more here: 
https://t.co/1BDVHBTeAR"
RepMikeTurner,"We worked together incredibly closely on NASIC’s expansion. Lauderback is incredibly knowledgeable and hardworking. When she was transferred to the Pentagon, I was very glad that I was continuing to work with her.  

https://t.co/oWJBxbeyFG"
