handle,text
RepRickLarsen,"Are you interested in supporting a Ukrainian family?

Check out this thread ⬇️🧵 https://t.co/63OG1feGs4"
RepRickLarsen,"@VOAWW @washington_211 If you or someone you know needs help finding infant formula, my office assembled a list of local resources. ⬇️

https://t.co/3hREjdHW6c"
RepRickLarsen,"Today, I met with @VOAWW in Everett to discuss how the nationwide infant formula shortage affects local families and how organizations like VOAWW and @washington_211 are working to help parents and caregivers find safe, affordable infant formula. https://t.co/zerR6xcAMo"
RepRickLarsen,"This morning, I met with airport leaders at @AAAEDelivers's annual conference to discuss my efforts to protect aviation manufacturing jobs, prepare for the future of aviation and invest in airport infrastructure. #AAAESEA https://t.co/wlmN2bBiOq"
RepRickLarsen,"Today, I am thinking of all who fought for the cause of freedom that day and throughout World War II, including more than 12,300 World War II veterans who call Washington state home."
RepRickLarsen,"June 6 marks the anniversary of D-Day, when thousands of Allied forces landed on beaches across Normandy, France, to continue the liberation of Europe from the Nazis. https://t.co/9PXGbazu6e"
RepRickLarsen,"When unions are strong, Washington’s working women &amp; men see higher wages &amp; better benefits.

Congratulations to employees at Starbucks’s Broadway &amp; 37th Street location in #Everett for voting to join @SBWorkersUnited! https://t.co/wL4WS95kYE"
RepRickLarsen,"🌲⛴️🌲Happy birthday to @wsferries, the largest ferry system in the United States! 🌲⛴️🌲 https://t.co/9zTYpvRqQb"
RepRickLarsen,"Happy #Pride Month!

As an ally, I will continue to fight alongside the LGBTQ+ community to make Northwest Washington, Washington state and the United States more equal, just, safe and fair. https://t.co/hCe12oICCO"
RepRickLarsen,"Congratulations to @ComdtUSCG Admiral Linda Fagan, a @UW graduate, on becoming the first woman in the history of the United States to lead a military service! #USCG https://t.co/j3g0LcU69n"
