handle,text
RepStricklandWA,"Those most impacted by the chronic underfunding of Title X are people of color, LGBTQ people, and those living in rural areas. 

For the health of people in need, Congress must #FundTitleX. https://t.co/voDyVZvKAg"
RepStricklandWA,"Not normal: A losing U.S. President and his enablers staging a coup to overturn his election loss.

P.S.- Jan 6th commission members @RepKinzinger and @RepLizCheney are members of the @GOP. https://t.co/QsMO8yrk4M"
RepStricklandWA,"Police play an integral role in keeping the South Sound safe and they need additional resources to implement community-oriented policing, increase training, and deploy resources.

https://t.co/pse4PqBsAL"
RepStricklandWA,"I’m proud to join the @DemWomenCaucus &amp; @RepSpeier in introducing the MARCH for Servicemembers Act, which will ensure all servicemembers have access to reproductive health care. 

https://t.co/lmTHP4IlXw"
RepStricklandWA,"Spoke with @MelissaSantos1 from @Axios Seattle’s Hot Seat series to discuss the need to pass federal gun control legislation, the filibuster, the newly signed policing order, and much more. Read here: https://t.co/K3Gsl9oEMq"
RepStricklandWA,"Last week I led a letter to Defense Secretary Austin, uplifted high school artists for the Congressional Art Competition, and visited University place to discuss their plans for Homestead Park! https://t.co/yoSxWDhGvH"
RepStricklandWA,"I'm honored to serve as your voice in DC. 

Remember, I work for you - if you need assistance, please don't hesitate to call my office at (360) 459-8514 or contact me at https://t.co/rjEINBT33o. https://t.co/GaZqC2tkNv"
RepStricklandWA,"I am honored to be named a Defender of Children by @Campaign4Kids. 

Research has proven that investing in our children makes them — and our nation — healthy, strong, &amp; productive. I will continue to put our nation’s kids first at every opportunity. https://t.co/DQe7nHcpVv"
RepStricklandWA,"Happy #NationalTrailsDay! Today we recognize all of the amazing trails across the country, especially in #WA10. 

These trails are part of our nation’s natural and cultural history, so get out and explore South Sounds' scenic trails! https://t.co/xMYX5q3soc"
RepStricklandWA,"In 2022, there have already been over 200 mass shootings in the United States.

During Gun Violence Awareness Month, we recognize the heartbreaking toll that gun violence takes on our communities and recommit to end gun violence. https://t.co/XcYCfFqwB6"
RepStricklandWA,"Happy #PrideMonth! During this month we recognize the history, culture and contributions of the LGBTQ+ community in South Sound and across the nation! https://t.co/qALaFKmun6"
RepStricklandWA,"Thank you, Sgt. 1st Class Chris Freymann for your commitment to keeping Ukrainian families and citizens safe - all the way from #WA10 and the South Sound. I applaud the work that you and @WANationalGuard do each day to protect democracy here at home and around the globe. https://t.co/6zoBfQ1jKc"
RepStricklandWA,"Taken together, these actions will establish greater trust between law enforcement and the communities they serve.
 
https://t.co/O8O2HfJRJN"
RepStricklandWA,"Last year, I introduced the Enhancing Oversight to End Discrimination in Policing Act with @SenWarren, which expands the @thejusticedept's ability to enter into consent decrees. 

I am proud to see @POTUS sign an executive order to increase oversight &amp; strengthen public safety."
RepStricklandWA,"I am proud to stand with the Chehalis and members of the Washington delegation as we urge both the House and Senate to swiftly pass this bill and extend Tribal land rights for generations to come.

https://t.co/B5T6thdCgr"
