handle,text
RepTedDeutch,"The first report from the UNHRC's Commission of Inquiry confirmed that the process would be biased from the get-go.

I appreciate the Biden Administration's continued efforts to strongly push back on those at the UN who continue to advance their scurrilous obsession with Israel. https://t.co/lxgP1BwBq1"
RepTedDeutch,I joined @TheLeadCNN to discuss gun violence prevention here in Congress. Watch my full interview here 👇 https://t.co/OUntrdsEHh
RepTedDeutch,"We will not stop pushing until action is taken. Tune in now to @CNN, where I will be speaking with @JakeTapper about the gun violence prevention package making its way through Congress. 👇

https://t.co/8DQcXIGuwG"
RepTedDeutch,Didn't tune in Friday? Watch my interview on @CNNSitRoom with @WolfBlitzer here 👇 #DontLookAway https://t.co/drGNEWQbX9
RepTedDeutch,Watch the rest of the interview here. (PART 2) https://t.co/h91lswWusq
RepTedDeutch,ICYMI: Watch my interview on @CNNNewsroom this afternoon to hear my thoughts on the recent incidents of gun violence across the U.S. and the upcoming Jan. 6 committee hearing. (PART 1) https://t.co/BO8LvCJ6VE
RepTedDeutch,"Glad to join @TheSundayShow on @MSNBC this morning. 

Tune in shortly to hear me and my colleague @JacksonLeeTX18 discuss the importance of Congressional action to prevent gun violence.👇

https://t.co/yYbl7UFk3J"
RepTedDeutch,"We need to keep talking about this issue, every day, until decisive action is taken to prevent gun violence. 

Tune in shortly to @CNNSitRoom, where I will join @WolfBlitzer to discuss yesterday’s markup and what comes next. 👇

https://t.co/SAyxMRXWHQ"
RepTedDeutch,"Iran must never get a nuclear weapon.

I look forward to building on my conversations with DG Grossi in Vienna to ensure that Iran’s nuclear capabilities and its obstruction of the IAEA are addressed at the upcoming IAEA Board of Governor’s meeting. (2/2)"
RepTedDeutch,The IAEA will soon report that Iran again failed to answer its questions about uranium particles found at 3 undeclared sites &amp; that Iran’s stockpile of 60% enriched uranium has passed a “significant quantity” meaning possibility of manufacturing a weapon cannot be excluded. (1/2) https://t.co/sKPZXuti5t
RepTedDeutch,"Iran must immediately release the two Greek ships it seized and their crews. Maritime security is national security. This blatant act of piracy is yet another reminder that Iran’s regional aggression must be addressed for the US, the Mid East, &amp; the int'l community to be secure. https://t.co/meaR1298eH"
RepTedDeutch,"Today’s emergency markup was a step in the right direction to prevent future gun violence. We must take action now.

Tune into MSNBC shortly to hear me discuss this issue 👇

https://t.co/yYbl7UFk3J"
RepTedDeutch,"""This argument that we’re rushing into action, that we’re not being thoughtful. That we should just take some time to really understand what happened before we respond, is another way of saying we have no interest in ever responding to this gun violence epidemic in our country"" https://t.co/Vx4HKrsY5Z"
RepTedDeutch,"We can’t keep claiming that updating our gun laws won’t prevent mass tragedies while inaction continues to claim American lives.

We owe it to every family that continues to suffer to pass legislation to end gun violence.

Watch my @HouseJudiciary remarks here: https://t.co/PeT70I9cSk"
RepTedDeutch,"I applaud @HouseJudiciary for holding an emergency markup on critical gun control legislation.

It’s time to take decisive action to confront the devastating events of the last two weeks— and the last thirty years. https://t.co/0HLsiUnhsT"
RepTedDeutch,"#Pride Month is a time to celebrate the LGBTQ+ community’s diversity, joys, and accomplishments. As states, including FL, pass transphobic &amp; homophobic policies, it's also a time to continue the fight for full equality.

This month &amp; always I'm proud to stand w/LGBTQ+ Americans. https://t.co/CzS0UCvyS3"
