handle,text
RepTedLieu,Oil and gas companies are announcing record profits while families are struggling to pay higher prices at the pump. That's why @HouseDemocrats passed the Consumer Fuel Price Gouging Prevention Act to crack down on price gouging and excessive price increases by Big Oil.
RepTedLieu,"Today is #ElectionDay ! Make sure you have a plan to vote if you haven't done so already. Your voice matters. 

All vote centers and ballot drop boxes close at 8pm tonight. For more info on how and where to vote, visit https://t.co/mjS8ldfsXS. https://t.co/gngmcjrYbx"
RepTedLieu,"Republicans have no new ideas to reduce the gun violence epidemic in this country. 

Democrats are putting people over politics. 

Joined @MSNBC's @AlexWitt to discuss @HouseDemocrats' work to #EndGunViolence. Watch the full interview: https://t.co/yPOoNqGZLB https://t.co/jxKqxfgZqc"
RepTedLieu,"Delighted to be named a Defender of Children by @Campaign4Kids. Time &amp; again, research has proven that investing in our children makes them — and our nation — healthy, strong, &amp; productive. We'll continue to put our nation’s kids first at every opportunity. https://t.co/MD2aqhzzCA"
RepTedLieu,"Pleased we passed the #ProtectingOurKids Act out of the @HouseJudiciary committee yesterday. Joined @allinwithchris and @Fred_Guttenberg to discuss this critical gun safety legislation and more. #EnoughIsEnough

Watch the full interview: https://t.co/ZtoqXQM8XR https://t.co/H4r13LMBz9"
RepTedLieu,"Today — on National Gun Violence Awareness Day — people across the country #WearOrange to honor the victims of gun violence and call for change. 

@HouseDemocrats will not stop fighting until Congress passes meaningful legislation to help #EndGunViolence and save lives. https://t.co/cZGdyu0EaY"
RepTedLieu,"TODAY: @HouseJudiciary is considering the #ProtectingOurKids Act, a package of commonsense legislation to reduce the gun violence that is plaguing our nation. 

Watch at 10 AM EDT ⬇️ #EnoughIsEnough https://t.co/uF9cbajc8G"
RepTedLieu,"Subnational diplomacy has been occurring &amp; will continue to occur. The federal govt. can either continue to ignore it or help it along. 

Wrote an essay on #SubnationalDiplomacy: The Key to Strengthening U.S. International Relations. 

READ ⬇️ @HarvardJOL https://t.co/yHJkCo0anf"
RepTedLieu,"Happy #PrideMonth! As we celebrate the LGBTQ+ community, we honor the progress we've made toward #LGBTQ equality and raise awareness for the work that remains. 🏳️‍🌈 https://t.co/OU3g5BC0Zf"
RepTedLieu,"A few days before the start of this #GunViolenceAwarenessMonth, a gunman killed 19 children &amp; two teachers in the Uvalde school shooting. That's just one of the over 200 mass shootings in the U.S. this year. Thoughts &amp; prayers are never enough. We need ACTION to #EndGunViolence. https://t.co/Kctq6o6xw2"
