handle,text
RepThompson,"Joined @GiffordsCourage, @RepJahanaHayes, @RepJasonCrow, &amp; @ryandbusse as a responsible gun owner, hunter, &amp; veteran to call for gun violence prevention action.

We have a responsibility to stand up against the unhinged gun lobby in DC to save lives &amp; protect our communities. https://t.co/Pq2BOIYzWT"
RepThompson,"Congratulations to all of this year’s US Service Academy candidates from California’s Fifth District.

It was great to spend time with them and their families last night and to celebrate their admittance to the Air Force Academy, Naval Academy, NAPS and West Point. https://t.co/dxoVNFO9s5"
RepThompson,"Congratulations to Rohnert Park on the groundbreaking of the Homekey project!

This project will create 60 units of interim housing for individuals experiencing homelessness in our community. I look forward to seeing the impact of this project https://t.co/FNaWwcxxoZ"
RepThompson,"REMINDER: Make sure your ballot has all of the required information completed and is postmarked by today, June 7 and delivered by June 14 for your ballot to count.

You can find ballot drop off locations by visiting @CASOSVote here: https://t.co/b9ha7mnzIn"
RepThompson,I look forward to seeing President Joe Biden sign this bill into law and honor Art’s incredible life and legacy.
RepThompson,"Great news! The Senate passed my bill to rename the Cotati Post Office in honor of the Pasta King, Art Ibleto. Art created a successful restaurant &amp; catering business, raised hundreds of thousands of dollars for charitable causes, and uplifted our community at every opportunity."
RepThompson,"Two weeks ago, 21 lives were taken at Robb Elementary School, including 19 children.

We cannot allow their memories to be forgotten. We must pass my bill with @RepJerryNadler and @JacksonLeeTX18, the Protecting Our Kids Act — delays are not an option."
RepThompson,"Today is the primary election in California! Voting is the most vital tool in our democracy, and I encourage every Californian to get out and exercise their right to vote.

Visit @CASOSVote website for info on how to vote: https://t.co/yOLF0V16I8"
RepThompson,"This past weekend, 15 people were killed in mass shootings.
 
Every day, 30 people are killed by someone using a gun.
 
This can't be allowed to be the new normal. Gun violence has no place in our communities &amp; the House is ready to take action on bills that will help save lives."
RepThompson,"Wearing orange started when Hadiya Pendleton’s friends commemorated her life by wearing orange after she was shot and killed.

For #WearOrange Day, I challenged our constituents to raise awareness about gun violence by sending in photos wearing orange. Thanks for participating! https://t.co/dVH5yXyJFc"
RepThompson,"Great to kick-off the Napa Climate NOW Road to a Livable Climate Ride &amp; Walk in Napa yesterday.

Climate change is one of the most pressing issues we face, and by using our collective voices, we can call for the change that we need to protect our planet for generations to come. https://t.co/EZupDT0YC4"
RepThompson,"This is a strong move by @POTUS to boost US renewable energy production.
 
To combat the climate crisis, the US needs to transition to sustainable energy. It’s time to deal with the climate crisis head on, and that includes making my GREEN Act law. 
 
https://t.co/7GpwhdDLwJ"
RepThompson,"This week, the House is taking strong action to combat gun violence, including passing red flag legislation and my bill, the Protecting Our Kids Act, to help keep our communities safe and save lives. 2/2

https://t.co/HwE1YToMeO"
RepThompson,Another weekend of mass shootings in the only country where this is a regular occurrence.  This is in addition to everyday gun violence the media often does not cover. 1/2
RepThompson,"On this day in 1944, Allied Forces stormed the beaches of Normandy to liberate Europe from the grasp of tyranny, authoritarianism, and ruthless genocide.

Today, we remember and express our gratitude to those who fought on D-Day and throughout the war to eradicate this evil."
RepThompson,"HAPPENING NOW: I am going live with @ChrisMurphyCT to discuss what Congress is doing to help save lives and protect our communities from gun violence.
 
Join us:

https://t.co/UIiCfNHm7B"
RepThompson,"We want to protect people.

This week, the House will vote to pass bills to #EndGunViolence and help protect schools, places of worship, grocery stores, concerts, theaters, and everywhere else mass shootings occur in our communities.

I encourage all of my colleagues to vote yes. https://t.co/dcrHwZonks"
RepThompson,"Reminder that the CDC has recommended a third dose of the Pfizer COVID vaccine for children ages 5 to 11. 

If eligible, please make sure your children are vaccinated to help protect them and our communities."
