handle,text
RepTonyGonzales,"Today, my team will be in Jeff Davis, Medina, and Brewster Counties to assist you. No appointments needed. https://t.co/VOdRuH4UJj"
RepTonyGonzales,"Tonight, I asked the House of Representatives to rise to observe a moment of silence for the victims in Uvalde.

May they rest in peace, and may they always be remembered. https://t.co/Jgyb4XUQ18"
RepTonyGonzales,Navigating casework with federal agencies can be tricky. Come stop by my team's office hours today for assistance. https://t.co/qJFXYAwV2S
RepTonyGonzales,"The largest caravan potentially ever is headed to the border. With up to 15k migrants in total, it is larger than the population of most towns in TX-23.

This Admin must work with Congress to ensure that law enforcement has the resources necessary to secure our border."
RepTonyGonzales,"It’s time to turn this pain into action. 

The first step is addressing the mental health problem in America.

https://t.co/TQ9oYydrAt"
RepTonyGonzales,"Today we honor the 73,000 American soldiers who bravely fought on the beaches of Normandy to free Europe from the Nazi regime. 

We commemorate the sacrifice of the thousands of troops that fought and died to defend the liberties of The United States and its allies. https://t.co/m0kxSvwqp4"
RepTonyGonzales,"As a father, school safety is a top priority for me. That’s why I am leading initiatives in Congress to make sure our kids feel safe returning to school in the fall. https://t.co/n2F3xIm9gJ"
RepTonyGonzales,"On #NationalCancerSurvivorsDay, we celebrate life! 

At the same time, we must raise awareness of the challenges cancer survivors face from battling this vicious disease. We are here for you. 

https://t.co/S2hfNKYfne"
RepTonyGonzales,Here is some helpful guidance for us parents trying to help our kids understand and process the horrific events in Uvalde. https://t.co/t740ESEfMG
RepTonyGonzales,"I am grateful for the outpouring of support from all over Texas. 

Thank you, @HEB for offering assistance during this tragic time. #UnitedforUvalde https://t.co/hqFXN3MaEK"
RepTonyGonzales,"Schools are supposed to be a safe haven for our kids.

I sent a letter to AG Garland urging the DOJ to expedite the approval of grants that would improve school safety, provide for additional school resource officers, &amp; offer much-needed emotional and financial support to Uvalde. https://t.co/w0O3nIhgyp"
RepTonyGonzales,"Texas, especially rural areas, is getting left behind. The tragedy in Uvalde should be a wake-up call for my fellow lawmakers. That’s why I am pushing in Congress to allocate federal funding for cities in South Texas, like Uvalde, to have proper emergency response operations."
RepTonyGonzales,Sacramento Emergency Operations. https://t.co/cJ7q7fhLlz
RepTonyGonzales,New York City Emergency Operations. https://t.co/Z6skWG4MLG
RepTonyGonzales,"I stopped by the Uvalde Emergency Operations Center which is responsible for multiple counties, &amp; thousands of my constituents. The leading operation in charge of the emergency response to Robb Elementary School. 

Not surprisingly this is a stark contrast to CA &amp; NY facilities⬇️ https://t.co/wPEVVezNLl"
RepTonyGonzales,"Last year, I secured $2 million for an Inpatient Psychiatric Facility in Uvalde. 

While this funding is a great start, I will work with anyone who wants to develop mental health solutions to heal this pain my community is facing."
RepTonyGonzales,"Congratulations to San Antonio student, Harini Logan, on winning the 2022 @ScrippsBee!

Harini showed incredible dedication and hard work to bring home the gold. We are so proud of you! 🐝 https://t.co/TudsPjWm1G"
RepTonyGonzales,"As the Uvalde community recovers, schools must be equipped with the proper tools to transition to a safe learning environment. 

I sent a letter to Dept. of Ed @SecCardona supporting @Uvalde_CISD as it seeks grants to heal from this tragedy. https://t.co/84YIgfHdeM"
RepTonyGonzales,"Recursos en español ⬇️

https://t.co/L9gCcIhFm6"
RepTonyGonzales,"As many families, children, and educators are grieving, it is important to know there is support.

The Dept. of Education has resources to assist our children’s social, emotional, behavioral, and mental health needs. 

https://t.co/8K99UhgznO"
RepTonyGonzales,"I continue to hear stories of bravery and heroism from the Uvalde community. #UvaldeUnited
 
https://t.co/mzxhvhSaFB"
RepTonyGonzales,"As Congress goes back to D.C. next week, I remain committed to turning this pain into action. I stand with Uvalde. 

#UvaldeUnited https://t.co/Z5LvrkoY9e"
RepTonyGonzales,"Some of the worst cases of human trafficking happen at the southern border. The first step in dismantling these vile crimes is border security. 

Thank you to the law enforcement agencies who saved dozens of young kids.
https://t.co/5ZLAZPRIvf"
