handle,text
RodneyDavis,"Gas prices in Illinois and across the country are hitting historic highs. Biden's executive actions and inaction are contributing to high gas prices. We need to completely unleash the American energy sector to provide families financial relief at the pump.
https://t.co/je4D6yXnP5"
RodneyDavis,"In 2017, Raskin attempted to object to President Trump's election by tossing out state electors. The Dems don't care about ""democracy."" It's all about preserving political power.

That's why they want unelected federal bureaucrats to administer our elections instead of states. https://t.co/oXeyTBhuZ6"
RodneyDavis,"As a leading Republican voice on the House Transportation &amp; Infrastructure Committee and House Ag Committee, I'm working to make more goods in America, fix our supply chain issues, and promote the transportation industry in Congress so we can grow our communities."
RodneyDavis,I also got to talk with employees about the issues they face. We discussed rail &amp; trucking specifically &amp; the workforce challenges those sectors are facing. Addressing supply chain issues &amp; getting more folks into rail &amp; trucking will help IL farmers get products into the market.
RodneyDavis,"Last week, I visited @GROWMARK's Total Grain Marketing FS facility located outside Champaign. I toured the grain storage and shipping facility and got to see workers load a train headed for the Gulf of Mexico to get area farmers' products out into the global marketplace. https://t.co/6XmFOhmyhZ"
RodneyDavis,"Here is a copy of the communication General Dwight D. Eisenhower (who would later go on to serve as President of the USA) sent to Allied forces ahead of the #DDay landings in Normandy.

You can find audio of General Eisenhower's message here: https://t.co/K4jXAakOKp https://t.co/yrdJ7devgp"
RodneyDavis,"78 years ago today, Allied forces launched Operation Overlord and stormed the beaches of Normandy, France, marking a major turning point in the war against Hitler's Germany and Nazi tyranny in Europe. 

God bless the Greatest Generation and our #WWII veterans. 🇺🇸 🦅 #DDay #DDay78 https://t.co/6XZtmuCxqM"
RodneyDavis,If you know someone interested in a future internship have them visit my website to apply!
RodneyDavis,Meet our district interns for the summer – Joseph and McKenna. Enjoyed talking with them about their college and future career plans. Joseph is from Piatt County and is attending UIUC while McKenna is an Illinois native home for the summer from Iowa State University. https://t.co/dIP88u3eyj
RodneyDavis,"Thanks to @RepBost for his leadership on this issue. I've been working with him to address the backlog of requests at NPRC so our veterans can get timely access to their service records, which are essential to access the benefits they've earned through their military service. https://t.co/nh9ABBlzvS"
RodneyDavis,"Whether it’s PNA repeal or expanding late-term, taxpayer-funded abortion, Pritzker’s abortion agenda is out-of-step with the people of #IL. As a pro-life lawmaker, I will continue to advance policies that protect life and limit the extreme abortion policies of Dems like Pritzker."
RodneyDavis,"Today is a sad day for life and the unborn in the State of Illinois. With @GovPritzker's repeal of Parental Notification of Abortion, parents now have no legal protections to be involved in their minor children’s lives when they’re seeking an abortion.
https://t.co/YuzDXbxYcr"
RodneyDavis,"It was great to meet with Madison Wang today. Madison is the winner of the 2022 Congressional Art Competition for #IL13. I look forward to seeing her artwork proudly displayed in the U.S. Capitol. 

You can read more about this year's competition here: https://t.co/AdCSskPgpU https://t.co/bFkqDOOrsr"
RodneyDavis,I’m here to serve you. This #ConstituentServiceSpotlight is another example of how my office and I can help. Reach out if we can ever be of assistance: https://t.co/UwfjLHml8t https://t.co/Ugx3XZ42GL
