handle,text
RosaDeLauro,"The majority of corporate tax cuts have been used on stock buybacks, which benefit wealthy shareholders and company executives—not workers. 

The current tax system is rigged against the middle-class. 

It is time to rein in corporate greed.
https://t.co/WkNU1XSYhH"
RosaDeLauro,"With privacy rights on the line and on the anniversary of the Griswold #SCOTUS decision, I’m calling on my colleagues in Congress to join me in advocating for more investment in Title X. 

Everyone deserves family planning care. #FundTitleX
https://t.co/lq5xEmFp7P"
RosaDeLauro,"Griswold v. Connecticut established the right to privacy 57 years ago.

Protesting CT’s ban on birth control in 1961, Estelle Griswold &amp; Dr. C. Lee Buxton opened a birth control clinic right here in New Haven — one of the most far-reaching revolutions in constitutional history."
RosaDeLauro,"Tomorrow, the House will vote on the #ProtectingOurKidsAct, a comprehensive package to address gun violence. 

The package includes my legislation, #EthanLaw, which will keep kids across the country safe by ensuring firearms are safely stored and secured."
RosaDeLauro,"Today, I’m honoring the memory of Ethan Song outside my office in DC. Ethan was a Guilford, CT teenager who died because of an unsecured firearm. He should have never been exposed to this risk. https://t.co/Rhf3BV8S7w"
RosaDeLauro,"Thank you, @SecYellen. We need to make the #ChildTaxCredit permanent! https://t.co/xiayuGasG7"
RosaDeLauro,"I joined community leaders and advocates in Seymour to urge @FERC to take action and transfer ownership of the dam under terms that are fair to the towns and environmental communities.
 
There must be new ownership of the dam. We must protect it.
https://t.co/PHn2NznlmP"
RosaDeLauro,"For far too long, the Kinneytown Dam in Seymour has been the only barrier to fish migration along the Naugatuck River from Thomaston to the Long Island Sound.
 
There must be action.
 
We must prioritize the accessibility and cleanliness of our rivers. https://t.co/YDovtu503Z"
RosaDeLauro,"Thank you to Team @AveloAir and @FlyTweed for letting me be a part of today’s aircraft pushback.

Incredible! https://t.co/k0GMoUvnG6"
RosaDeLauro,"As Chair of @AppropsDems, I’ve fought tirelessly to ensure that @SpecialOlympics education programs are funded and supported to invest in our kids. 

Unified sports programs are pillars of our communities. https://t.co/l3HOo6odkh"
RosaDeLauro,"I could not be more proud to join @SOCTconnecticut's sendoff here at @FlyTweed and congratulate them on a hard-fought journey. These athletes are the very best of CT.

I cannot wait to cheer them on at the @2022USAGames in Orlando, FL! https://t.co/i1oMtpzHbX"
RosaDeLauro,"A big thank you to my staff member, Harper, for his legislative work on gun safety and working side by side with advocates on the incorporation of Ethan’s Law in the Protecting Our Kids Act.

Harper traveled from D.C. to run in today's 5K! https://t.co/e2RsZlLnxB"
RosaDeLauro,"The SongStrong 5K in Guilford celebrates the life of Ethan Song, who passed away in January 2018 at the hands of an unsecured gun. 

I joined runners today to raise awareness for gun safety and keeping our kids safe!

#SongStrong https://t.co/W3kPYO7rRl"
RosaDeLauro,"The food we give to our babies should meet the highest standard of safety. This legislation would ensure we meet that standard, requiring FDA &amp; infant formula manufacturers to do their due diligence to keep safe product on shelves &amp; contaminated product out of our homes."
RosaDeLauro,I am concerned that the FDA’s guidance and quick review process with limited staff do not do enough to guarantee the safety of imported formula.
RosaDeLauro,I am also requesting that the HHS Office of Inspector General investigate FDA’s recent guidance of enforcement discretion on the importation of infant formula that may not comply with certain requirements.
RosaDeLauro,"Today I am introducing the Keep Infant Formula Safe and on the Shelves Act – legislation that will improve food safety, help maintain infant formula supply, and keep workers safe. https://t.co/NPOcIdsiWk"
RosaDeLauro,"Raymark is one of the largest projects on @EPA's Superfund list!
 
The funding will ensure the safety of nearby residences, bring commercial properties back onto the tax rolls, improve storm water management, and redevelop the ""Ballfield"" to be used as a new Public Works Space. https://t.co/BjSykT8rCo"
RosaDeLauro,"We celebrated $23 million in funding that has been secured under the Bipartisan Infrastructure Law – allotted for the cleanup of the Raymark Superfund Site in Stratford, CT.
 
This is a big deal! As we all know, this has been a long time coming for our community. https://t.co/csixsVDb1x"
RosaDeLauro,"I am thankful to have worked alongside his parents to advocate for legislation that keeps children out of harms way. Together, we're fighting for solutions that will prevent these tragedies from occurring."
RosaDeLauro,"The Protecting Our Kids Act includes Ethan's Law, legislation I introduced in the memory of Ethan Song, a teenager from Guilford, CT who accidentally shot himself with an unsecured gun. https://t.co/YPcLT4RYfC"
RosaDeLauro,"I commend the HHS OIG for accepting my request for an investigation into FDA’s handling of infant formula safety concerns at an Abbott facility. 

With this investigation, we will get to the bottom of what went wrong &amp; we will not allow anyone to skirt accountability. https://t.co/TI74sh82xi"
RosaDeLauro,"This crisis needs an urgent response. 

Each day we wait, more lives are at risk."
RosaDeLauro,"We face another senseless tragedy in Tulsa. At least 3 innocent lives lost forever due to avoidable gun violence.

We can’t prioritize the gun lobby’s greed over innocent lives. Mass shootings cannot be our norm. 

We pay the price for inaction with lives lost."
RosaDeLauro,Tune in now ⬇️ https://t.co/Ro4xtEfe0y
RosaDeLauro,"Ethan’s Law would set federal standards for safe gun storage, as well as give states incentives to create and implement safe gun storage laws. #EndGunViolence"
RosaDeLauro,"Ethan's Law, which I introduced in the House, honors the memory of Ethan Song—a Guilford, CT teenager who accidentally shot himself with an unsecured gun in early 2018. https://t.co/MSpmUiv4MR"
RosaDeLauro,"Kristin Song and Po Murray are traveling to Washington, D.C. to attend @HouseJudiciary's hearing tomorrow on the Protecting Our Kids Act, where Ethan's Law, a bill in honor of Kristin's son, will be reviewed by the committee. 
 
I stopped by Union Station to wish them well. https://t.co/uadsozYhni"
RosaDeLauro,"It has been over a week since the Uvalde shooting. I will not idly sit by while gun violence ruins our communities.
 
Today, we remember those lost. I promise to honor their memory by fighting to prevent these tragedies from potentially happening again. 

https://t.co/pDDTsuwWNw"
RosaDeLauro,"Happy #PrideMonth! 🏳️‍🌈

Let’s celebrate and stand in love with our LGBTQ+ loved ones, friends, family, and neighbors. You have my word that I will always fight for equality and against discrimination in all forms. 

I’ve got your back. https://t.co/tpmkZhFkzz"
RosaDeLauro,"The climate crisis is here, and I’m fighting to invest in climate solutions to support the environment, our communities, and more. 

Today at 6:55 PM, I’m hosting a live tele-town hall to provide an update on my work in Congress to combat climate change. 

Dial-In: 855-920-0553 https://t.co/Q7x09eWQjs"
