handle,text
SenAmyKlobuchar,"Lowering drug costs. Reining in big tech. Passing gun safety legislation. Strengthening our supply chain. 
 
I’m ready for action. Who’s with me?"
SenAmyKlobuchar,"This weekend @GovTimWalz, @SenTinaSmith &amp; I went to International Falls to meet with local &amp; state officials &amp; see the damage caused by storms &amp; flooding. Thankful for the MN National Guard, volunteers &amp; first responders. We'll do all we can to get the community back on its feet. https://t.co/8TBvW1frZI"
SenAmyKlobuchar,"Congestion at ports and increased shipping costs pose unique challenges for U.S. exporters. So what can we do about it? Enact my bipartisan bill with @SenJohnThune to strengthen our supply chain and level the playing field for American manufacturers, farmers, and consumers."
SenAmyKlobuchar,"In 2022, we should be able to bring high-speed internet to every community. I’m glad this historic investment based on my bill with @WhipClyburn will help close the digital divide and connect Americans with work, school, and business opportunities.
 
https://t.co/fExau7aPD6"
SenAmyKlobuchar,"When we pass my bipartisan bill with @ChuckGrassley to rein in big tech companies, small businesses will benefit. Consumers will benefit. And entrepreneurs across the country ready to innovate and compete will benefit."
SenAmyKlobuchar,"As @POTUS asked last night: “How much more carnage are we willing to accept? How many more innocent American lives must be taken until we say enough?”
 
Enough."
SenAmyKlobuchar,"We can’t keep waking up to these headlines. Innocent lives are being lost. The time to act is now.
 
https://t.co/z8f0FTX0fC"
SenAmyKlobuchar,"It’s #PrideMonth! This month and every other, let’s reflect on how far we’ve come and continue the fight for full LGBTQ rights. No matter who you are or who you love – I am proud to stand with you."
SenAmyKlobuchar,"Hospitals. Schools. Grocery stores. These should be safe places. Thoughts and prayers are not enough.
 
My heart is with the victims, their loved ones, and the entire Tulsa community. https://t.co/L4SHC4PzWU"
SenAmyKlobuchar,"My heart is with all Minnesotans impacted by the severe storms on Monday. My team and I are in touch with community leaders and here to support recovery efforts.
 
https://t.co/4EmtD9CjGT"
