handle,text
SenBobCasey,"I changed my position because I didn’t want to see Americans dying daily without doing something about it.

I shouldn’t be alone. It’s time for the Senate to act."
SenBobCasey,"We need “extreme-risk protection” laws to temporarily remove access to firearms from those who might be a risk to themselves or others, while respecting due process. We also need to get serious about banning weapons of war in our communities."
SenBobCasey,"Gun violence is not an issue we can solve overnight. But there are basic steps we can take to keep guns out of the hands of dangerous people and criminals.

First, we should expand background checks for all gun sales, including those made online, at gun shows &amp; in private sales."
SenBobCasey,"Many in Washington want you to believe that the most powerful Nation in the world can’t stop kids from being shot in schools or Black Americans from being killed in a grocery store. They say gun violence plaguing cities like Philadelphia can’t be solved.

Don’t listen to them."
SenBobCasey,"The idea that 26 children and educators could be slaughtered in a matter of minutes because a 20-year-old had virtually unfettered access to weapons of war was too much to bear.

So I changed my position. Now, it’s time for many of my colleagues in the Senate to do the same."
SenBobCasey,"I came to Washington in 2007 with the firm belief that to support and honor Pennsylvania’s deep-rooted hunting culture meant that I should not support restrictions on guns.

Then Sandy Hook happened."
SenBobCasey,"I’m a U.S. senator who has done something rare in today’s politics: I’ve changed my position on our nation’s gun laws.

After doing so, I didn’t burst into flames or get run out of town.

That’s how I know others can choose to do the same.🧵 https://t.co/rW0F7bJmFD"
SenBobCasey,"From natural disasters to mass shootings, we must ensure that all children and students, including those with disabilities, are included and accounted for in emergency preparedness protocols. We must pass my PREP for All Students Act. https://t.co/KW1RDnfNNa"
SenBobCasey,"Do you remember, the 21st night of September?

This year you will: Dollar Dog Night is back. 🌭⚾️ https://t.co/35PJDfkexB"
SenBobCasey,I was inspired by these Philadelphia students at yesterday's roundtable and I remain hopeful for the future because of future leaders like them. https://t.co/DNPfINrny3
SenBobCasey,"One quarter of all veterans have a service-connected disability, yet only 10% of the VA's websites are accessible. I'm leading a bipartisan, bicameral group of my colleagues to find out what the VA is doing about it. https://t.co/9q5GPmmGVS"
SenBobCasey,It was an unexpected pleasure to run into one of my former students last week at American Keg's manufacturing facility. Derek was a great student *and* basketball player with a good jump shot. https://t.co/lMaNCPDgmM https://t.co/MRFt55iZ9M
SenBobCasey,Sending @GovernorTomWolf well wishes for a speedy recovery. Get well soon Governor. https://t.co/0txRKP8AeP
SenBobCasey,"I met with workers at the Starbucks store at 20th and Market in Philadelphia to congratulate them on their vote to unionize.

Every worker deserves the right to collectively bargain for better wages and benefits. https://t.co/iEfeaanLPR"
SenBobCasey,"We also need commonsense reforms like enhanced background checks, extreme risk protection orders and safe storage. We must also help the countless victims of gun violence with my Resources for Victims of Gun Violence Act."
SenBobCasey,My Democratic colleagues and I secured $50 million for a new Community Based Violence Intervention and Prevent grant program and the Department of Justice is accepting applications. https://t.co/LILfOMkm3h
SenBobCasey,"As of 2020, the leading cause of death among children and teens in America is gun violence. It’s a staggering reminder of the breadth and impact of this uniquely American problem.

We cannot simply surrender to this problem."
SenBobCasey,"This morning, I held a roundtable with students in Philadelphia to discuss the impacts of gun violence on their lives and communities and what Congress must do to end this epidemic and save lives. https://t.co/paitSeSonj"
SenBobCasey,"I'm looking for a personable, organized team player to be a Staff Assistant in my DC office.

In this role, you'd:
📞Help manage a high-volume main line &amp; front office
📂Provide admin support to multiple teams
🤝Interact with people from across PA

Apply⬇️ https://t.co/GQ7dKgvBOR"
SenBobCasey,"The 78th anniversary of D-Day is a poignant reminder of the tremendous sacrifices of our servicemembers. Millions of American patriots, including nearly 1.2 million Pennsylvanians, served and saved our Nation in 1944."
SenBobCasey,"I was proud to join Philadelphia’s LGBTQ community in today’s Pride March.  Even as we celebrate the progress made to advance civil rights over the past few years, there's still so much work to be done. I'm proud to stand with the LBGTQ community today and every day. #PHLPride https://t.co/YDTJMCfBQ5"
SenBobCasey,My office is in contact with local police and we’re closely monitoring this horrific situation for updates. I’m frankly sick of seeing reports like this regularly. We need commonsense gun legislation NOW. We cannot surrender to this problem. https://t.co/kvatWkxbI1
SenBobCasey,"The systemic and coordinated attack on the lives and dignity of trans kids across the country is horrific.

It’s also a call to action. We need the Equality Act now."
SenBobCasey,"Today, we #WearOrange to honor the countless lives lost and impacted by gun violence every year. As lawmakers, we cannot simply surrender to this crisis. Victims and their families deserve action. https://t.co/n793BDoNvp"
SenBobCasey,Home care workers deserve living wages. Nothing less. My #BetterCareBetterJobs Act would invest in their jobs.
SenBobCasey,I was proud to secure community project funding for Star Community Health's Dental Program. They will soon add a fourth dental van for medically underserved students in Monroe County. It's a huge step in reducing inequities in health care access for kids in rural areas. https://t.co/ODySjpw9nQ
SenBobCasey,"Thanks to $12.4 million from the American Rescue Plan, Primary Health Network in Mercer County was able to expand its COVID-19 testing, treatment and vaccination operations. #PAMapSpotlight https://t.co/sWSbdsXqOu https://t.co/qBvmoVQSzF"
SenBobCasey,.@ShowcaseforComm is a unique opportunity to demonstrate what Pennsylvania does to support our men and women in uniform. I am continually impressed by the talent and spirit of innovation running through the Commonwealth's industrial base. https://t.co/hxul5D0CEC
SenBobCasey,"With a federal grant, the Southwestern Pennsylvania New Economy Collaborative in Allegheny County will invest in workforce training and commercialization. #PAMapSpotlight https://t.co/gI0yZ0dBcy https://t.co/uxKc5zUyFW"
SenBobCasey,"Thanks to the American Rescue Plan, child care centers in Erie have been able to upgrade their facilities and programs and hire additional child care specialists. ""There is a good chance we would be closed if not for this funding."" https://t.co/Hanv8cVfhc"
SenBobCasey,"Taking these steps will help save lives and keep gun violence out of our schools, grocery stores, churches, synagogues, and communities."
SenBobCasey,We also need to pass bills like my #DisarmHate Act to disarm perpetrators of hate crimes and Resources for Victims of Gun Violence Act to better support the countless lives impacted by gun violence every day.
SenBobCasey,"I’m ready to act now and I urge my colleagues to join. We need commonsense reforms like enhanced background checks, extreme risk protection orders and safe storage."
SenBobCasey,"Gun violence is plaguing so many of our communities. In Philadelphia, gun violence has surged, tearing families and communities apart. Over 200 people have been shot and killed this year alone."
SenBobCasey,"June is National Gun Violence Awareness Month. Every year and after every tragedy, we offer nothing more than thoughts and prayers to victims’ families. It's past time we break this cycle of inaction."
SenBobCasey,Lehigh Valley International Airport &amp; Allentown Queen City Municipal Airport are receiving over $6 million in federal funding for runway repairs. These are critical investments that will improve air travel and support economic growth in the Lehigh Valley. https://t.co/SUXbNYOUm5
SenBobCasey,"In Pennsylvania, we do two things well: steel and beer. We are also at the forefront of criminal justice reform to reduce barriers for workforce reentry. Manufacturers like American Keg showcase the best of PA by investing in local workers and using American stainless steel. https://t.co/aFYG7OTZD0"
SenBobCasey,Corporations shouldn't be able to write off union busting on their taxes. My #NoTaxBreaksForUnionBusting Act would put an end to it.
SenBobCasey,.@chesapeakebay is investing more than $1 million from the federal spending bill to further implement the Watershed Restoration Plan for Halfmoon Creek in Huntingdon County. #PAMapSpotlight https://t.co/bNJtyQsEzV https://t.co/vNlzo2eyxT
SenBobCasey,"The regular slaughter of children in shootings isn't a mental illness issue.

It's an American failure.

Gun violence is the leading cause of death for American kids and teens. If we claim to be the greatest nation on Earth, it's about time we gave a damn about their lives."
SenBobCasey,"Rising costs have hit Pennsylvanians hard despite a robust economic recovery. I applaud @POTUS's 3-part plan to fight inflation, focused on improving supply chains &amp; lowering the cost of gas, housing &amp; prescription drugs while reducing the federal deficit. https://t.co/zIwtgFfxrS"
SenBobCasey,"#PrideMonth is a time to celebrate and recognize the LGBTQ community in PA, the Nation and across the world. We’ve seen tremendous progress in the advancement of civil rights, but there is still so much work to be done to solidify these hard-won victories for equality into law. https://t.co/JglqZdqp0Y"
