handle,text
SenCortezMasto,"When renewable fuel pioneer @FulcrumBio encountered a needless roadblock at EPA, I pushed to protect over 120 good-paying jobs in Northern Nevada. Thanks to my advocacy, they’re cleared to move forward with their state-of-the-art renewable fuels plant."
SenCortezMasto,"Proud to join @PattyMurray and @maziehirono in introducing the Affordability is Access Act to expand access to no-cost over-the-counter birth control. Birth control is essential health care, and this bill makes it easier for people to get the family planning options they need."
SenCortezMasto,"Today, the Senate took another step toward passing historic legislation to ensure veterans exposed to toxic chemicals have access to the medical treatment they need. 

I’ll keep working to pass this critical bill for veterans in Nevada and across the country."
SenCortezMasto,"This month of June marks Immigrant Heritage Month. Nevada is made up of many immigrants from diverse backgrounds who enrich our state, and I’m proud to recognize the immeasurable contributions they make to our communities. #ImmigrantHeritageMonth"
SenCortezMasto,"Nevada is a world-class travel destination, and I’m always working to support our tourism industry and welcome visitors to the Silver State. I look forward to partnering with @CommerceGov as we continue to bolster U.S. travel, create jobs, and promote all Nevada has to offer. https://t.co/iZ79jAPAPR"
SenCortezMasto,"On this day 78 years ago, American soldiers and the Allied forces stormed the beaches of Normandy, and their bravery laid the foundation for our victory in World War II. We must always remember and honor the sacrifices those heroes made to defend our freedom. #DDay"
SenCortezMasto,Glad that @POTUS listened to my and @SenJackyRosen's calls to protect Nevada’s booming solar industry and ensure it gets much-needed materials. I’ll continue working to support this innovative part of Nevada’s economy and the good-paying jobs it creates. https://t.co/hRV93tvxTE
SenCortezMasto,"We can’t let anti-abortion extremists strip away reproductive freedoms from millions of Americans. Every person in this country should be able to get the health care they need, including reproductive health care. I will always fight for this fundamental right."
SenCortezMasto,"It is my honor and privilege to nominate young Nevadans to attend a United States Service Academy. If you’re interested in applying for a Congressional nomination to a U.S. Service Academy, visit my website below for more information ⬇️
https://t.co/jcyPFo3WjJ"
SenCortezMasto,"I’ve secured tax credits for Nevada’s renewable energy industry, and I'm glad @Interior is helping by reducing costs for wind and solar projects on public lands. This will increase U.S. energy independence and lower costs for Americans.
https://t.co/cZPyPfgpaY"
SenCortezMasto,"We need to let Medicare negotiate drug prices and stop pharmaceutical companies from taking advantage of seniors and tax payers. I’ve been working to make this happen since I arrived at the Senate, and I won’t stop until we do."
SenCortezMasto,"Restaurant week starts this Monday! #Vegas has so many incredible places to eat, and @threesquareLV is teaming up with restaurants across the valley to donate a portion of the proceeds from restaurant-week menus to help food-insecure Nevadans. https://t.co/F06M9DY03U https://t.co/zpzXBxALpl"
SenCortezMasto,There have been over 200 mass shootings in the U.S. this year alone. We need to pass commonsense reforms like universal background checks to keep Americans safe. #NationalGunViolenceAwarenessDay
SenCortezMasto,"Glad to see $3.6 million headed to Nevada from @Interior’s Land and Water Conservation Fund to expand access to our outdoor spaces, protect and take care of the environment, and create good-paying jobs to strengthen our state's outdoor recreation economy. #GreatOutdoorsMonth"
SenCortezMasto,"Happy #PrideMonth Nevada! 🏳️‍🌈🏳️‍⚧️

While we have made progress in the fight for LGBTQ+ equality, there's still so much work to do. I’m going to continue to push for a more inclusive future."
SenCortezMasto,"Las Vegas is a world-class destination, and I'm working to ensure drivers can get around safely and efficiently. I'm proud I secured $25 million in the Infrastructure Law and an additional $50 million to help upgrade the I-15/Tropicana interchange. https://t.co/410lQAr37c"
