handle,text
SenHydeSmith,"Deeply concerned that the trend of violence against those opposed to legalized abortion will continue if #SCOTUS overturns #RoeVWade. @TheJusticeDept, @FBI, and @USAttorneys must take a firm public stance &amp; proactive response against these violent threats. Read our letter:"
SenHydeSmith,The #BidenBorderCrisis is still breaking records. And @JoeBiden continues to embrace a nothing-to-see-here approach to securing our borders and controlling illegal immigration. https://t.co/OiHBpYcaYP
SenHydeSmith,"78 years ago, American and Allied troops fought and died to defend liberty and freedom when they stormed the beaches of Normandy. Let us never forget their unfathomable courage and sacrifice. #DDay #DDay78 https://t.co/Rv1JVMkjoF"
SenHydeSmith,"""Be joyful in hope, patient in affliction, faithful in prayer."" Romans 12:12"
SenHydeSmith,"The @whitehouse has taken an interagency, blanket posture of denying or limiting access to critical crop protection tools, even during times of record inflation, rising food prices, and global food insecurity. We wrote @POTUS on the issue. Read the letter here:"
SenHydeSmith,"As we enter #hurricaneseason2022, it’s important to take steps now to prepare. Have an evacuation plan, assemble a disaster supplies kit, and prepare your home. @MSEMA 
More: https://t.co/N0EBwwbZCp"
SenHydeSmith,"Pleased @POTUS has nominated Bill Renick to serve on the @TVAnews Board, which would restore much needed Mississippi representation. I look forward to the confirmation process &amp; believe Bill’s experience, aptitude &amp; record of service to MS will serve TVA &amp; its customers well."
SenHydeSmith,It’s game day for @OlemissBSB! Tune in today after the Miami vs. Canisius game to cheer on the #RebsBSB in the Coral Gables Regional! #HottyToddy 💙❤️ https://t.co/3I5CKAQUct
SenHydeSmith,More than $17M in @FAAnews airport improvement grants will provide pivotal funding that allows Mississippi communities to repair and improve their airport facilities whether they’re major like @JacksonAirports or smaller operations. Read more:
SenHydeSmith,"Can’t wait to cheer on my alma mater @SouthernMissBSB as they HOST the regional @NCAABaseball tournament this weekend! ⚾️ Very exciting for @Hattiesburg_MS as the town’s tourism sector continues to recover from the pandemic. #SMTTT
https://t.co/caWNS71d2Z"
SenHydeSmith,Enjoyed my visit with the wonderful members of @mcblf this morning. Thanks for all you do for Madison County and Mississippi! https://t.co/69Z51pUCu6
SenHydeSmith,"For more than 45 years, the #HydeAmendment has ensured taxpayer dollars are not used to fund abortions. We joined @SteveDaines &amp; @SenatorLankford in writing to @SenSchumer to express our unwavering support for the Hyde Amendment &amp; all other longstanding #ProLife protections."
