handle,text
SenRandPaul,I’m hosting interns in DC and those interested should apply by July 8th for priority consideration! https://t.co/Vmzv1fG4vT
SenRandPaul,"We cannot keep ignoring this problem at the expense of taxpayers, and my budget will put our nation on track to solve this crisis that Congress created. https://t.co/PsSveR2LC5 https://t.co/Xl43ZtMzS8"
SenRandPaul,"It was great meeting with community members in Adairville, Ky. As I’ve heard all across the Commonwealth, a top issue on their minds was inflation. Inflation might be an ‘invisible tax’, but Kentuckians are feeling it heavily at the gas pump and grocery store. https://t.co/D8u1fct1Hx"
SenRandPaul,"On my last stop today, I visited Druther’s of Campbellsville, Ky to present them with the Senate Small Business of the Week award. Druther’s continues to provide a sense of nostalgia that their loyal customers love. Congratulations to Steve and the entire Druther’s team! https://t.co/JCdh3kfcWb"
SenRandPaul,"Another successful public forum with the liberty-loving citizens of Liberty, KY. Our country was uniquely conceived on the idea that our natural rights come from God, and Liberty embodies that spirit well. In fact, they even have their own replica Liberty Bell! https://t.co/7viAi8e3vW"
SenRandPaul,"We had a great turnout at our public forum in Jamestown, Ky. I enjoyed discussing solutions to issues like inflation, workforce participation, and Biden’s border crisis. Thank you Russell County! https://t.co/zrQ8FZU87f"
SenRandPaul,"ICYMI: I had a great conversation about inflation and more on @kevinrobertstx! 

Rand Paul: Calling Biden out for Rising Inflation https://t.co/agJhhYtCd8 https://t.co/2uYZMVYzCg"
SenRandPaul,This morning I met with the Barren County Chamber of Commerce. We agreed that county governments should be a model for federal government because they budget within their means and don’t have access to an unlimited printing press. https://t.co/LhS3TujsJB
SenRandPaul,Glad to join @KevinRobertsTX to discuss the disaster inflation hurting KY and our entire country. https://t.co/2v4P0TIhfN
SenRandPaul,"I’m proud to join pro-life senators pledging to block any bill that would undermine the Hyde Amendment, which prohibits taxpayer funding for abortion, or any other pro-life protections. https://t.co/4JH1a7obPZ https://t.co/kfbRCkl3ug"
SenRandPaul,We believe that the American taxpayer deserves to know the degree to which government doctors and researchers have a financial interest in drugs and products they support… https://t.co/VBqWKBUXBU
SenRandPaul,It's #ThrowbackThursday! Here's a video of my previous Penny Plan to balance the budget. I'll never stop fighting for fiscal sanity. https://t.co/H6zjFcWeeZ https://t.co/bsnnjD47KY
SenRandPaul,#WasteReportWednesday https://t.co/A2RrSOVCzp
SenRandPaul,Happy 230th Birthday Kentucky! I am beyond grateful to represent the people that make our Commonwealth great. https://t.co/qALc4ta0Zb
