handle,text
SenRickScott,"The Biden admin is clueless. Not only have they ignored my calls for over a year to fight fraud, waste and abuse of taxpayer-funded COVID unemployment relief, but they have ZERO IDEA how many of Americans’ tax dollars have been stolen.
 
@JoeBiden is confused &amp; unfit to lead. https://t.co/OaW5XoUzCF"
SenRickScott,"🚨WATCH🚨I heard from @USTravel today on how we can get our international travel fully re-opened. Doing so is critical to America’s economy:
1️⃣End pre-departure COVID testing 
2️⃣Expedite visa wait time backlogs 
3️⃣Encourage convention &amp; trade shows in the U.S. https://t.co/lYbU7b7nHZ"
SenRickScott,".@JoeBiden’s been in Washington for decades &amp; has NEVER stood up for the people of LATAM &amp; their freedom. 

At the Summit of the Americas this week, Biden must FINALLY stand up for freedom &amp; democracy in LATAM &amp; stop appeasing brutal dictators. https://t.co/I8FIE5uC68"
SenRickScott,"🚨As the Ranking Member, I’ll be hearing from witnesses in @SenateCommerce Subcommittee on Tourism, Trade &amp; Export Promotion at 3:00 PM on how we can be helpful in facilitating the full return of international travel &amp; get people back to work. Tune in! https://t.co/zGMs1eoliI https://t.co/ISssR7L0kT"
SenRickScott,"“Everything that they can?” Wrong. @JoeBiden has done NOTHING to drive down skyrocketing gas prices. He created a crisis that is devastating families &amp; now he’s turned his back on all of us.

If Biden refuses to fix this &amp; end his war on U.S. energy, he should resign. https://t.co/zJX6MuxJ8N"
SenRickScott,Congratulations to Ken Graham on being selected as the new @NWSDirector! I’ve worked closely with Ken during his years as @NHC_Atlantic Director &amp; look forward to seeing him lead the @NWS. Wishing him the best of luck in this well-deserved new position. https://t.co/fvwMUShV9H
SenRickScott,"🚨ICYMI: @JoeBiden’s “Plan to Fight Inflation” made clear what Americans have known for well over a year: the president is heartlessly disconnected from the pain his policies have caused families &amp; he has no idea how to curb inflation. 

Read more in my op-ed for @dcexaminer 👀⬇️ https://t.co/HEKxOOfdsH"
SenRickScott,"Los demócratas creen que pueden comprar medios conservadores, pero no silenciarán las voces hispanas y a los pueblos amantes de libertad de Cuba, Venezuela y Latinoamérica."
SenRickScott,"Democrats believe they can buy conservative media, but they will not silence Hispanic voices and the freedom-loving people of Cuba, VZ and all of LATAM. https://t.co/55wbh2GlqL"
SenRickScott,"Really? You’re bragging right now?

The day before you took office, inflation was 1.4% and the average cost of gas was $2.39 per gallon.

Today, inflation is 8.3% and gas is nearly $5 per gallon.

Under your admin, American families are suffering. https://t.co/MywMO7UAM3"
SenRickScott,My dad was among the brave soldiers of the 82nd Airborne in Normandy who valiantly fought against tyranny on #DDay. I’m so proud of my dad &amp; the #GreatestGeneration for their service &amp; sacrifice to protect our freedoms. Their bravery will always be an inspiration 🇺🇸 https://t.co/47zdNi5kMR
SenRickScott,".@JoeBiden bows to Communist China &amp; ignores human rights AGAIN.
 
This will likely increase U.S. imports of solar panels made through Uyghur forced labor in Xinjiang. The Biden admin must stand against forced labor &amp; prevent tax dollars from funding this horrific abuse. https://t.co/eZfmYalZdF"
SenRickScott,"It’s absolutely INSANE that the Biden admin actually thinks they can’t fix skyrocketing gas prices caused by their socialist Green New Deal policies’ own doing. 

Failure after failure, @JoeBiden has shown he is incompetent and unfit to lead. https://t.co/xZHhhyBAhG"
SenRickScott,The baby formula shortage is a crisis of Biden’s making. This is a massive failure that’s hurting families &amp; it’s insane that the Biden admin wouldn’t have all hands on deck - especially @SecRaimondo. (2/2)
SenRickScott,"Is it really possible that the SECRETARY OF COMMERCE is not involved in the admin’s response to a baby formula shortage driven by ongoing supply chain issues they’ve refused to solve? 

Unfortunately, yes. That’s how incompetent @JoeBiden is. (1/2) https://t.co/Eh8IjH2T6Q"
SenRickScott,"Thirty-three years ago, the Chinese Communist Party massacred thousands of innocent democracy activists. Today, we honor those lost in this brutal tragedy, remember that Communist China is still ruled by a murderous regime &amp; renew our pledge to democracy. #TiananmenSquareMasacre https://t.co/cFwAmgzk5D"
SenRickScott,"Today marks the first day of National Fishing and Boating Week! This is an excellent opportunity to enjoy Florida’s beautiful waters and spend quality time with your family. Don’t forget, this is a license-free weekend! 🎣 https://t.co/Y1oMlcIYau"
SenRickScott,"Our team is monitoring the potential tropical cyclone in South Florida and the Keys today. I urge every Floridian to have an emergency plan ready, stay alert as weather threats occur and get prepared today. https://t.co/TnX3hX8XxO https://t.co/QIeCP8LPZF"
SenRickScott,"Xi’s brutal regime has made clear that it is our enemy. For the sake of America’s national security, now is the time to decouple from Communist China. https://t.co/uJKfh3Otrp"
SenRickScott,"Mi equipo está monitoreando la potencial tormenta tropical y fuertes lluvias que pueden afectar al Sur de FL y los Cayos mañana. Insto a todos los floridanos a escuchar a sus funcionarios locales, mantenerse alerta ante amenazas climáticas y tener un plan en caso de emergencia."
SenRickScott,"My team is monitoring the potential tropical storm and heavy rain expected to affect South Florida and the Florida Keys tomorrow. I urge every Floridian to listen to their local officials, stay alert for weather threats and have a plan ready in case of an emergency. https://t.co/VX2azon2zS"
SenRickScott,Florida tiene la suerte de tener el mejor manejo de emergencias del mundo y fue genial estar con estos profesionales en el Centro de Operaciones de Emergencia de @pbcgov. La #TemporadaDeHuracanes comenzó y cada floridano tiene un rol para proteger a su familia. ¡Haz un plan hoy!
SenRickScott,https://t.co/TnX3hX8XxO
SenRickScott,Florida is blessed to have the world’s best emergency management &amp; it was great to be with some of these pros at @pbcgov’s Emergency Operations Center today. #HurricaneSeason is here &amp; every Floridian has a role to play in keeping their family safe. Make a plan today! https://t.co/4CdqtDcCuY
