handle,text
SenRubioPress,"🚨📻EN BREVE🚨📻

El senador Rubio hablará con Oscar Haza en   @ahoraoscarhaza sobre la @CumbreAmericas y otros acontecimientos en el país.

Escuche la entrevista aquí:  https://t.co/fbi6AxCTXe https://t.co/DkgU0YER7K"
SenRubioPress,"‼️ ICYMI ‼️

Senator Rubio and @SenGillibrand joined @TheLeadCNN to discuss Senate passage of the bipartisan burn pits legislation.

Read more:
https://t.co/DvYSWi3E4h"
SenRubioPress,"Senator Rubio: ""Our veterans deserve this.""

Senate advances Rubio-led effort to take care of veterans suffering from toxic burn pit exposure. https://t.co/shBrH51rMr"
SenRubioPress,"📺TUNE IN 📺

Senator Rubio and @SenGillibrand join @TheLeadCNN to discuss the Senate's passage of bipartisan burn pits legislation."
SenRubioPress,"Sen. Rubio released a statement &amp; video message applauding the Senate's vote on burn pit legislation. 
https://t.co/isJJ7HQw7L"
SenRubioPress,.@fema has announced it will provide @pbcgov more than $3.3 million for emergency protective measures as a result of Hurricane Dorian.
SenRubioPress,.@fema has announced it will provide @PinellasCoNews more than $1.1 million for emergency protective measures as a result of the COVID-19 pandemic.
SenRubioPress,"Mark your calendars 🗓

Senator Rubio’s office and the Area Agencies on Aging (AAA) will be hosting a Senior Day Outreach Event in #Jacksonville.

See below for more information ⬇️ https://t.co/lJZvaPVoC0"
SenRubioPress,Cuban activists @SailydeAmarillo &amp; @menosveinte have been banned from leaving the island to travel to the @SummitAmericas out of fear they'll expose the Cuban regime for what it is: a brutal dictatorship. How is it that the Biden Admin even considered inviting these thugs? https://t.co/0XHBdMqptJ
SenRubioPress,"Sen. Rubio, @SenJeffMerkley, Rep. Smith, and @RepMcGovern sent a letter urging President Biden to rigorously implement their #UyghurForcedLabor law, which goes into effect June 21st.

Read more 👇
https://t.co/MFdeqRhQvQ"
SenRubioPress,"“Estamos de acuerdo en que no es conveniente que los estadounidenses inviertan en empresas de China o de cualquier otro país que atenten contra la seguridad nacional de EE.UU."" -senador Marco Rubio. 

https://t.co/iiVuLNDcQa"
SenRubioPress,"On the 78th anniversary of D-Day, we remember the Americans who valiantly stormed the beaches of Normandy with determination to secure the freedom of others and future generations. We will never forget their heroism on that day. 🇺🇸 https://t.co/uO5Z4cgSx5"
SenRubioPress,.@fema has announced it will provide @MarionCountyGov more than $1.3 million for management costs as a result of Hurricane Irma.
SenRubioPress,"🚨𝗧𝗢𝗗𝗔𝗬🚨

Join members of Senator Rubio's office and the Area Agencies on Aging (AAA) as they host a Senior Day Outreach Event in #TheVillages. https://t.co/GhK4lQbO4T"
SenRubioPress,"On #NationalCancerSurvivorsDay, Senator Rubio recognizes the individuals who have courageously beat cancer as well as those who continue to fight this terrible disease. Rubio remains committed to continuing his work to help those affected by cancer."
SenRubioPress,"33 years ago, the Chinese Communist Party opened fire on peaceful protesters during the #TiananmenSquareMassacre. Today, this same regime continues to brutalize, murder, and silence its own people and those in #Xinjiang, #Tibet, #HongKong. This is the true face of the #CCP. https://t.co/ilpTJKkJuY"
SenRubioPress,"Saudi human rights lawyer Waleed Abu al-Khair is serving a 15 yr prison sentence for ""inciting public opinion"" against #SaudiArabia. Rubio condemns the Saudi govt's continued disregard for human rights &amp; calls for an end to al-Khair's unjust imprisonment. #ExpressionNOToppression https://t.co/fAfNIhz99x"
SenRubioPress,"Next week, the office of Senator Marco Rubio will host #MobileOfficeHours to assist you with federal casework issues.

Find an in-person event near you🔽
https://t.co/FUSzBztZwT https://t.co/IFZGuf0l9G"
SenRubioPress,"Mark your calendars 🗓

Senator Rubio’s office and the Area Agencies on Aging (AAA) will be hosting a Senior Day Outreach Event.

See below for more information ⬇️ https://t.co/hoJrQcisK6"
SenRubioPress,"ICYMI: Senator Rubio joined @JaySekulow on Jay Sekulow Live to discuss legislation to keep our communities and schools safe.

Read more:
https://t.co/aCIYWHTHrD"
SenRubioPress,"📻TUNE IN 📻

Senator Rubio joins @JaySekulow on Jay Sekulow Live. 

Listen below:
https://t.co/iwvlCUicLu"
SenRubioPress,"Sen. Rubio called for the Biden Admin to prioritize trade talks with #Taiwan a year ago. Instead, they dragged their feet on convening talks and chose to exclude Taiwan from #IPEF.

While this is a good step, it is too little, too late.
https://t.co/WbuXuFwhBj https://t.co/WsI9uNSf3H"
SenRubioPress,"Biden nominees confirm to Sen. Rubio in writing that “it is unfitting for Americans to invest in companies from China or elsewhere that undermine U.S. national security.”

Read more ⬇️
https://t.co/u4509b9749"
SenRubioPress,"""No creo que EE.UU. deba sentirse presionado para que invite a regímenes autoritarios a una Cumbre que nosotros mismo estamos organizando""- Senador Marco Rubio

https://t.co/20gP0e95Q2"
