handle,text
SenTuberville,"Do these photos seem familiar? It's stations from across Alabama where gas prices are soaring, stretching our budgets thin.

But don't take my word for it, see for yourself:
Mobile⛽️: $4.79/g
Orange Beach⛽️: $4.59/g
Birmingham⛽️: $4.65/g

The solution? #UnleashAmericanEnergy NOW. https://t.co/zvEEhB7GwZ"
SenTuberville,"IN THE NEWS: Tuberville slams Biden's proposed changes to Title IX
https://t.co/2qilYaJY0O"
SenTuberville,"But, as the son of a veteran and a member of the Senate Committee on Veterans' Affairs, I'm willing to give the Senate a chance to improve the bill since our Committee did not have that chance. (4/4)"
SenTuberville,"As it's written now, the bill will likely cost Americans at least a trillion dollars in the long run – money our country does not have – and result in significant delays in the delivery of VA care and benefits. (3/4)"
SenTuberville,"Sen. Schumer bypassed the Senate's normal process of allowing the committee of jurisdiction – the VA Committee, of which I'm a member – to craft the bill and hash out issues, electing instead to bring the legislation straight to the floor without full committee input. (2/4)"
SenTuberville,I voted yes to allow the Senate to begin debating a bill that attempts to right size the VA's healthcare and benefits policies regarding veterans suffering from illnesses related to toxic exposure. But I have some concerns… (1/4)
SenTuberville,"As a Coach, I've witnessed the positive impact of #TitleIX firsthand. It changed the game &amp; leveled the playing field for female athletes. 
 
Proposed changes to allow biological men to participate in women's sports would reverse this progress. 
 
We can't let it happen 👇 https://t.co/DruNT2cpFx"
SenTuberville,"Fifty years ago, #TitleIX acknowledged the fact that biological males have a physiological advantages over females. 
 
This provided women and girls the long-denied platform that had always been afforded to men and boys.
 
Today, it's under attack ⤵️ 
https://t.co/lOmnTkvhOU"
SenTuberville,"#TitleIX sent a clear and unprecedented message to female athletes across the nation. That message was: you can compete, you can win, &amp; you will be afforded a fair and level playing field to do so.
 
The Biden admin is threatening to take that all away...
https://t.co/im1i22oaKL"
SenTuberville,"National average gas prices have more than DOUBLED thanks to @POTUS' pushing a climate agenda that limits American energy independence.
 
January 2021: $2.39/gal
June 2022: $4.86/gal

It's time to unleash American energy—and fast."
SenTuberville,"Changing #TitleIX to allow biological males to compete in women's sports will be a detriment to female athletes. 
 
Here's why:
https://t.co/lOmnTkdGXm"
SenTuberville,"Three months later and Alabama's average gas prices are now soaring past 2008's records:
 
⛽️ Today: $4.538/gal
 
It's past time the Biden administration did something to solve our energy crisis. #UnleashAmericanEnergy https://t.co/joHuKYshzU"
SenTuberville,"Seventy-eight years ago 160,000+ troops, including an 18 yr-old named Charles Tuberville, stormed the beaches of Normandy. Accomplishing historic feats, these Allied forces stood in the face of totalitarianism &amp; won. 
 
On #DDay, we remember their legacy."
SenTuberville,"Every good and perfect gift is from above, coming down from the Father of the heavenly lights, who does not change like shifting shadows.

James 1:17"
SenTuberville,"33 years after the #TiananmenSquareMassacre, the CCP continues its efforts to crack down on fundamental rights.
 
Today, we must remember the lives lost and recommit ourselves to standing up for freedom and human rights in China.
https://t.co/ISAuPuZ5CH"
SenTuberville,"Today, I visited the Farley Nuclear Plant to learn more about clean energy production &amp; discuss my new bill, the Thorium Energy Security Act.
 
Expanding clean energy sources to include U-233 will make energy production safer &amp; bolster national security.
https://t.co/ELB5bO2FKd"
SenTuberville,"I received confirmation from the Biden admin that they would uphold the Trump-era commitment to prohibit TSP investment in Chinese securities.
https://t.co/Yv4jKAvAzp"
SenTuberville,"$700 billion dollars in retirement investment from our nation’s military and federal civilian workforce should not be used to prop up China-based companies.
https://t.co/Yv4jKAvAzp"
SenTuberville,"COFFEE COUNTY: Join Team Tuberville at our quarterly office hours in Enterprise on Tuesday, June 14th, from 9:00 am to 4:00 pm CT.
 
My team is excited to hear from you!
 
➡️ https://t.co/efkl71TjMf https://t.co/XtRYrMxkxK"
SenTuberville,"The process to name Huntsville the preferred location for the SPACECOM HQ was rock solid.
 
It’s time to embrace the @USAirForce’s decision and move forward together. It’s in the best interest of our military and national security.
https://t.co/dsf59OkJXS"
SenTuberville,"Unfortunately for the American people, this admission is 13 months too late. Inflation is costing families over $500 per month. The administration needs to fix the problem they created."
SenTuberville,"After two years of reckless spending, the Biden administration ADMITS they were WRONG about inflation. 

Take it from Secretary Yellen ⬇️

https://t.co/qqrrJOO2IT"
SenTuberville,"Investing in Chinese companies is a risk to our national security &amp; millions of federal employees' finances.
 
I'm glad the Biden admin has finally agreed w/@SenTomCotton, @SenRubioPress, &amp; me—federal retirement plans shouldn't include Chinese companies.
https://t.co/814gzX41gR"
SenTuberville,"BALDWIN COUNTY: Drop by my Gulf Shores office hours on Monday, June 13th, from 10:00 am to 4:00 pm CT for an opportunity to offer your comments or concerns, or receive casework assistance. 
 
My team is ready to assist you! 

➡️ https://t.co/efkl71TjMf https://t.co/uPQ09HLSKd"
SenTuberville,"My bill, the Stop Settlement Slush Funds Act, increases accountability and prohibits the Biden admin – or any future admin – from using government slush funds.
https://t.co/4GdPI6Dbdi"
SenTuberville,"When the Department of Justice settles a lawsuit, the money should go to the victim or the Treasury —not a third party to advance a political agenda. https://t.co/D4AGtWSacZ"
SenTuberville,"Last week, I had the privilege of kicking off the 11th World Games. 

We're excited to welcome @TWG2022 &amp; @TeamRWB to the great state of Alabama. No doubt, Birmingham has been eagerly preparing to host this event, &amp; visitors will find a warm welcome when they arrive.
 
WATCH ⤵️ https://t.co/ZVQK24Lknz"
SenTuberville,Read my full letter to @SecCardona ⬇️ https://t.co/VmSoyNFner
SenTuberville,"As we celebrate the 50th anniversary of #TitleIX this year, we must also call out blatant attempts to undermine protections for women and girls. The NCAA has dropped the ball by allowing the female sports divisions to include anyone, failing women &amp; decimating fairness in sports."
SenTuberville,"Contrary to the media narrative, peer-reviewed studies confirm that reducing testosterone doesn't remove biological advantages.

Yet a biological man repeatedly swept female collegiate swim meets because @NCAA abandoned its responsibility to protect collegiate athletes."
