handle,text
SenatorCarper,"Taxpayers shouldn’t have to jump through hoops just to file their taxes. I asked @SecYellen what we can do to make tax filing season easier for the American people.

Her answer? Congress needs to give the IRS the funding it needs to succeed. https://t.co/jrMIrXIBxW"
SenatorCarper,"Today I was proud to meet with students from @AMarch4OurLives to discuss our nation’s undeniable epidemic of gun violence.
 
I’m thankful for their advocacy. Now it’s time for Congress to stand with the majority of Americans and pass commonsense reforms to reduce gun violence. https://t.co/kZX1kGZbIo"
SenatorCarper,"This project could generate enough electricity to power ~650,000 homes in Delaware and Maryland. 👍
https://t.co/A9yqzmpxRP"
SenatorCarper,Thanks to the members of the Bowers Fire Department for their heroic efforts to put out the barge fire that raged last week in the Delaware River. It was great to stop by in person to say Bravo Zulu! https://t.co/3twcrCFVVX
SenatorCarper,"By using his authority under the Defense Production Act, @POTUS will boost domestic clean energy manufacturing and lower energy costs for American families.

I welcome the Biden Administration’s commitment to supporting our nation’s clean energy transition.☀️ https://t.co/QEtvVYpPMP"
SenatorCarper,"On this day in 1944, over 150,000 Allied troops braved the beaches of Normandy to liberate a continent and confront evil in this world.

We know freedom because of the extraordinary courage of the service members of #DDay—and we're forever grateful for their sacrifice &amp; service. https://t.co/FPpNiIq65s"
SenatorCarper,"For the millions of American cancer survivors &amp; their loved ones, there are few happier days than #NationalCancerSurvivorsDay.
 
Today we celebrate—but we also remember the challenges survivors still face, &amp; the need to expand research, raise awareness, &amp; beat cancer for good. https://t.co/U4IxpgAQJO"
SenatorCarper,"103 years ago today—thanks to the tireless work of suffragettes across the country—the Senate passed the 19th Amendment guaranteeing women the right to vote.

In our fight for equal access to the ballot box today, we take inspiration from them, &amp; know change can come to America."
SenatorCarper,"While these final renewable fuels volume numbers released today are disappointing, I'm committed to working with the Biden administration and our stakeholders in Delaware on finding solutions to the challenges facing the Renewable Fuel Standard program.
https://t.co/QWiGYzTX10"
SenatorCarper,"The PACE Your Life program just opened at the Milford Wellness Center — providing quality care that so many seniors need, while allowing them to continue to live in their own homes.

This federal program is now available to Lower Kent and Northern Sussex county residents! https://t.co/iumOMRNZ6q"
SenatorCarper,"Senseless, preventable gun violence continues to devastate communities across the First State and our nation.

On National Gun Violence Awareness Day, we #WearOrange to honor the victims and survivors of this epidemic. We cannot become numb to these tragedies—Congress must act. https://t.co/jVTemSTH4p"
SenatorCarper,"Happy Birthday to our wonderful @FLOTUS and my dear friend, Dr. Jill Biden! 🎉

Delaware and the nation are grateful for your grace, leadership, and compassion. https://t.co/scvmCoPN58"
SenatorCarper,"For years, I’ve condemned the actions of predatory, for-profit schools like Corinthian for taking advantage of far too many Americans seeking an education — including our military and veterans.
 
Thank you @POTUS and @VP for lifting this burden for over half a million Americans. https://t.co/mOAln73APK"
SenatorCarper,"A new heartbreak every day in America. In our schools, our churches, our hospitals.
 
We must pass commonsense gun laws, so that families — children — don’t have to fear their refuges for learning or worship or health care will be turned into battlefields. https://t.co/6t1Av3gEcg"
SenatorCarper,Thank you to Dr. Tam and his team for the tour of @BeebeHealthcare’s new outpatient surgical center. Eastern Sussex County residents now have more options than ever when it comes to their health care. https://t.co/xtTKTrIWbd
SenatorCarper,"Congrats to Odyssey Charter School’s Melissa Tracy on being named one of @CharterAlliance’s 2022 Changemakers!

Not only is Melissa an inspiring STEM teacher—she’s designed her own urban farming program &amp; produced thousands of pounds of vegetables for community members in need. https://t.co/jhigaBZVnZ"
SenatorCarper,"I am proud to stand with @HUDMidAtlantic @DepSecTodman and @ChrisCoons to announce @POTUS’s plan to help Americans have access to affordable, safe homes. https://t.co/vB3hn3VFGu"
SenatorCarper,"This #PrideMonth, we celebrate the contributions and courage of our #LGBTQ community in Delaware and across the country, and we recommit to fighting for true equality for all. #PRIDE https://t.co/bboi8vFxvm"
SenatorCarper,Touring the @CityofNewarkDE's water treatment plant was an excellent example of the ongoing work to ensure we all have clean water access. I helped secure historic funding in the Bipartisan Infrastructure Law to allow more communities to make these necessary investments. https://t.co/KBTtCcydeW
