handle,text
SenatorRisch,"Instead of tackling the root cause of rising prices, the administration has shelled out handouts that have only contributed to the problem.
 
Economic solutions should rein in out-of-control spending, not expand the government even further. https://t.co/cXSAif4ZsR"
SenatorRisch,https://t.co/9ObxA96FxV
SenatorRisch,"Since 1927, the Cox family has preserved their family tradition of making &amp; selling honey. Their work is a testament to the treasures of Idaho’s agricultural industry.
 
Congratulations to Cox’s Honey &amp; its employees on being the Idaho Small Business of the Month for June 2022! https://t.co/dp2wQcK40n"
SenatorRisch,"On June 6, 1944, young men from around the world stormed the beaches of Normandy and secured one of the most pivotal military victories in history. Nearly 80 years later, we honor their bravery and remember those who made the ultimate sacrifice in the name of freedom. #DDay https://t.co/xL4V1UVOHc"
SenatorRisch,"I’ve never seen a gas station charge more than $5.00 per gallon in Idaho. Today, that changed.
 
The President should hold lease sales, approve drilling permits &amp; stop blocking private energy investments. It's the only way we'll see relief at the pump. https://t.co/vs5hezc5YI"
SenatorRisch,Congratulations to the @LCWarriors men’s baseball team on another incredible run in the @NAIAWorldSeries. https://t.co/V9gT4xjz3d
SenatorRisch,"My friend @SenJohnBarrasso is spot on.
 
Since taking control of Washington, Democrats have actively worked to dismantle our oil and gas infrastructure.
https://t.co/XUhC79xmKq"
SenatorRisch,"Glad to see Hollywood has finally “Lost that Loving Feeling” for the Chinese Communist Party.

https://t.co/hbkg23ZMKO"
SenatorRisch,"We cannot keep paying this much for gas. 
 
Mr. President, hold lease sales, approve drilling permits, and stop blocking private energy investments. That is the only way we will see relief at the pump."
SenatorRisch,There goes my vacation to Siberia. https://t.co/i5SkCPt5kK
