handle,text
SenatorRomney,"Utah's Col. Gail S. Halvorsen, known as the “Candy Bomber,” epitomized the defining values of the Greatest Generation. The Provo Veterans Center will now officially be renamed in his honor, and I appreciate the work of my colleagues in getting this effort across the finish line. https://t.co/izvlN2DgrC"
SenatorRomney,Long-term care centers are critical to the health and wellbeing of thousands of Utah's elderly and disabled. Met with leaders from Utah's health care industry for a discussion on improving workforce shortages and the quality of care for residents of Utah's long-term care centers. https://t.co/EgqENT9GXR
SenatorRomney,"Each day, I remain honored to serve in the Senate—where I'm inspired to work toward solutions that will improve not just the lives of Utahns, but the lives of all Americans. Read on for some of our wins over the past three years of my term in the Senate: https://t.co/wAStrlCXrn"
SenatorRomney,"78 years ago, brave allied forces stormed the beaches of Normandy with unfettered resolve to defeat evil and defend democracy. On the anniversary of D-Day, we honor their sacrifice and renew our commitment to combat authoritarianism and safeguard freedom at home and abroad. https://t.co/TkZSPFZn4d"
SenatorRomney,"33 years ago in Tiananmen Square, brave pro-democracy protestors were horrifically murdered by the CCP. Today, the CCP continues to imprison and brutalize dissidents. With authoritarianism on the rise, we must affirm our resolve to defend freedom and democracy at home and abroad."
SenatorRomney,"These deeply concerning reports should sound the alarm across Washington. Debt and insolvency threaten our nation’s wellbeing and must be addressed without delay. My TRUST Act, which aims at finding bipartisan solutions to rescue our federal trust funds, is a good place to start. https://t.co/pQozRCjXv8"
SenatorRomney,"Americans across the country are strapped with skyrocketing prescription drug costs, limiting access to medications. Congress must find ways to work with nonprofit generic drug companies, like Utah’s @CivicaRx, to lower costs and address shortages. https://t.co/tn7yb0SX1s"
SenatorRomney,"For over 45 years, the Hyde Amendment has ensured that taxpayer dollars are not used to fund abortions, saving the lives of nearly 2.5 million unborn children. Any legislation that would undermine this protection must not pass the Senate. https://t.co/ehVKw4vbg0"
SenatorRomney,"With two-thirds of Utah held as public land, a fully-funded PILT program helps to provide essential services to residents and visitors of our rural counties. It’s imperative that this program receives full funding for the next fiscal year. https://t.co/0JY75WkGJA"
SenatorRomney,"After years of negotiations, we have enacted an agreement that will provide the Navajos of Utah with running water and wastewater facilities. Grateful to have helped make this settlement a reality by ensuring it was fully funding in our bipartisan infrastructure bill. https://t.co/PdpbqVREDD"
