handle,text
WarrenDavidson,"The legislation is authored by @RepThomasMassie; I am one of many cosponsors. The bill ends the federal mandate for Gun-Free School Zones,  empowering every school district (who’s state permits) to set requirements for arming and training staff. https://t.co/YgRWQ97GTs"
WarrenDavidson,#FactCheck TRUE https://t.co/YS6pNLnMPj https://t.co/xUqnPGDBSD
WarrenDavidson,@bsaurb Obviously we think differently on many topics. Your point is mostly accurate. Anonymous accounts are generally taken less seriously…
WarrenDavidson,"No more eloquent way to recognize the sacrifices made in defense of freedom on this day in history…

June 6, 1944 #DDay 

Rangers Lead The Way! https://t.co/U6IRZZV1NU"
WarrenDavidson,"Twitter wouldn’t be the same without all of the bots and trolls… With Twitter’s 24/7 algorithms and some committed activists, some #OH08 constituents prefer direct communication. 

Please sign up for our weekly newsletter. https://t.co/IpBSMlY5hV"
WarrenDavidson,"Whenever someone says, “The government should fund _x_ for me / others.” They’re really saying, “My neighbors and you, or your grandkids and you, should…”."
WarrenDavidson,"Markets send important signals. #SoundMoney could have prevented it, earlier action could have mitigated it, but unfortunately it’s hurting the most vulnerable people most. Thankfully, stopping Build Back Better has prevented even worse conditions. Brace for impact. https://t.co/zfaM7nTwb1"
WarrenDavidson,Great. It will take effect before the fall season with very little disruption - if our state Senate and Governor finally take action. https://t.co/twZAPB67Rs
WarrenDavidson,"It’s almost like markets are rational- eventually. The good news? Policies that produce growth and investment are proving attractive. More freedom, less government, #SoundMoney. https://t.co/l1KgNm8lln"
WarrenDavidson,"@OhioIndy1 Nothing new under the sun… “Woe to those who call evil good, and good evil.”-Isaiah 5:20 https://t.co/dYYiMMaVsI"
WarrenDavidson,https://t.co/L6YDGmfoVy https://t.co/UZ2oaNykVH
WarrenDavidson,"Thanks to @TuckerCarlson for continuing to blast the neocons (aka not conservatives) while highlighting some good news: 
my colleague and founder of the 2nd Amendment Caucus, @RepThomasMassie defending freedom. https://t.co/XKvXSU8IG3"
WarrenDavidson,It’s clear that the Biden Administration’s objectives have little in common with what’s good for America’s citizens. No wonder they have such contempt for our Constitution.
WarrenDavidson,"The only reason the DNC united in opposition to oversight was to achieve this outcome. 

Why do they seek this outcome? https://t.co/POPIe9J0Y3"
WarrenDavidson,"The 1st Amendment protects freedom of religion, but there is also a non-establishment clause…
cc: California https://t.co/wwejgxip1d"
WarrenDavidson,@brad_polumbo This quote should be memorialized.
WarrenDavidson,@GovRonDeSantis @bennyjohnson The not yet bipartisan Vaccine Passport Prevention Act would have a similar effect nationwide.
WarrenDavidson,"Thank you for introducing this common sense legislation. This is a great complement for Ohio’s legislation to empower every school board in our state to arm and train staff. Sadly, Gun-Free Zones become targets. https://t.co/dgTKDsHKAp"
WarrenDavidson,"@Geiiga @RepublicanStudy Lastly, the Federal Reserve and regulators have made saving nearly impossible. While high net worth people (accredited investors) can save with interest, retail investors cannot shield savings by earning interest. Instead, they are driven to stocks, driving asset price inflation."
WarrenDavidson,"@Geiiga @RepublicanStudy The #FairTax addresses the need for essentials - which could go untaxed. Anti-trust is an extension of making markets function, as is intellectual property protection. Some laws, just not economic distortions. Normally, big business loves big government, but not anti-trust &amp; IP."
WarrenDavidson,"@prestonjbyrne Painful reminder. #SoundMoney is not optional... 

As Thomas Sowell recognized: ""The first lesson of economics is scarcity: there is never enough of anything to fully satisfy all those who want it. The first lesson of politics is to disregard the first lesson of economics."""
WarrenDavidson,"@Geiiga Thus, the correction. Tax differently. Also, it's massively more efficient to tax consumption."
WarrenDavidson,@prestonjbyrne Think how badly this idea would work. It would literally prevent price discovery in commodity markets. Wesley Mooch couldn't dream up something so bad - and he is fiction.
