handle,text
AP,"After the arrest of over two dozen members of a white supremacist group near a northern Idaho pride event, including one identified as its founder, LGBTQ advocates say polarization and political upheaval are putting their community increasingly at risk. https://t.co/O3SZisAjGX"
AP,"After experiencing global warming's firsthand effects, U.S. Latinos are leading the way in activism around climate change, often drawing on traditions from their ancestral homelands.

https://t.co/ijw0lqyJaR"
AP,@AP Allen's announcement came less than a week after @AP was first to report on new court filings that showed the FBI had seized his electronic data as part of the lobbying probe. https://t.co/B43mrSYYUH
AP,"BREAKING: Retired U.S. Marine Corps Gen. John Allen, president of the Brookings Institution, has resigned amid a federal investigation into whether he illegally lobbied on behalf of the wealthy Persian Gulf nation of Qatar. https://t.co/nRTcEXCDq2"
AP,"BREAKING: Former President Trump's campaign manager, Bill Stepien, is among the witnesses scheduled to testify Monday at a hearing of the House committee investigating the Jan. 6 U.S. Capitol insurrection, the panel announced. https://t.co/GWfzHfzTQL"
AP,"Read more on the Latino activists who are now sounding the alarm about the risks for global warming for their neighborhoods and the world.

https://t.co/XgdJGy3V7B"
AP,"Hispanics are also disproportionately affected by chronic health conditions aggravated by extreme heat, like diabetes and heart and kidney disease.

https://t.co/dR0jCbHsnh"
AP,"U.S. Latinos often live in ignored, lower income neighborhoods that are degrees hotter than nearby areas because they have a higher population density and limited tree canopy. 

https://t.co/oLFtGtb80v"
AP,"After experiencing global warming's firsthand effects, U.S. Latinos are leading the way in activism around climate change, often drawing on traditions from their ancestral homelands.

https://t.co/pCDVwwGaRs"
AP,"Projections from first round of French parliamentary election suggest President Emmanuel Macron has protected his centrist majority from a leftist coalition.

https://t.co/9cVw4AUF0H"
AP,"NATO's secretary-general says Turkey has “legitimate concerns” over terrorism.

Turkey has accused Finland and Sweden of supporting Kurdish militants and says it will not back the two Nordic nations joining NATO until they change their policies.

https://t.co/xjfNtVMXq2"
AP,"A midwifery clinic owner wants to open Mississippi's first birth center. She and other advocates say that amid the abortion debate, nothing is being done to support women, particularly Black moms, in the state with the highest infant death rate. https://t.co/biqBV4Rdwv"
AP,French voters are choosing lawmakers in a parliamentary election as President Emmanuel Macron seeks to secure his centrist majority. His party is facing competition from a newly formed leftist coalition. https://t.co/Imqeo5Mpqn
AP,"The proposal falls far short of tougher steps long sought by President Joe Biden and many Democrats. Still, if the accord produces a law, it would signal a turn from years of gun massacres that have yielded little but stalemate in Congress. https://t.co/f5XFx2GSGA"
AP,"The framework would also bolster school safety and mental health programs. Other steps include requiring more people who sell guns to obtain federal dealers' licenses, so they would have to conduct background checks of purchasers. https://t.co/hyxHH27xYP"
AP,The compromise would make juvenile records of gun buyers under age 21 available when they undergo background checks. And it would offer states money to implement “red flag” laws making it easier to temporarily take guns from potentially violent people. https://t.co/fD68Bc0mby
AP,Spain wilts under its first major heat wave of the year. Temperatures are expected to hit 109 degrees F (43 Celsius) in the south. https://t.co/LvnYOZwkHL
AP,"BREAKING: Senate bargainers announced a bipartisan framework responding to last month’s mass shootings, a modest breakthrough offering measured gun curbs and bolstered efforts to improve school safety and mental health programs.

https://t.co/RPI1Ge92We"
AP,"The Massachusetts Bay Transportation Authority is going to tackle the nuisance of public urination with technology. The MBTA is launching a pilot program this summer in which urine detection sensors will be placed in four downtown elevators.

https://t.co/S5UuJWm1vs"
AP,"A police investigation into the disappearance of a British journalist and an Indigenous official in the Amazon points to an international network that pays poor fishermen to fish illegally in Brazil’s second-largest Indigenous territory, authorities said.

https://t.co/yBysNdzyEp"
AP,"As many as 10 million children in the U.S. may help care for family members who are sick or have serious health problems. 

Researchers expect that more people will depend on children as the population ages. https://t.co/Zg3VkGMILY https://t.co/b6Jpfryeqc"
AP,"As the number of people sentenced for crimes in the Capitol riot nears 200, an @AP analysis shows that some judges are divided over how to punish the rioters.

A former public defender has consistently taken the hardest line against Jan. 6 defendants.

https://t.co/VCaHTp6okS"
AP,"Recent weeks have seen an especially intense set of revelations about sexual assault in churches across the U.S. Survivors say it is further confirmation of their years of whistleblowing.

https://t.co/1ncjQUPPBE"
AP,"Authorities arrested 31 members of the white supremacist group Patriot Front near an Idaho pride event after they were found packed into the back of a U-Haul truck with riot gear.

“They came to riot downtown,” the Coeur d’Alene police chief said.

https://t.co/mviB2sf7GJ"
AP,"Former Alaska Gov. Sarah Palin leads in early results from Saturday's special primary for the state's U.S. House seat. 

The top four vote-getters among 48 candidates seeking to replace late U.S. Rep. Don Young will advance to an August special election.

https://t.co/O17XcZHWMz"
AP,"Chinese authorities have arrested nine people on suspicion of violently assaulting several women at a restaurant after surveillance footage of the attack sparked widespread outrage.

https://t.co/88tnMB7Wwv"
AP,"A 15-year-old boy is being hailed in Ukraine for aerial reconnaissance work he did with his father when Russia invaded. 

The father-son team used their drone to help the military spot, locate and destroy Russian targets in the early days of the war.

https://t.co/1l0MUaDYqY"
AP,"Ukrainian President Volodymyr Zelenskyy says no one knows how long the war in his country will last but that Ukrainian forces are defying expectations by preventing Russian troops from overrunning eastern Ukraine.

https://t.co/rR5Z1qWcer"
AP,BREAKING: Two-time defending NHL champion Tampa Bay Lightning beat the New York Rangers 2-1 in Game 6 to set up Stanley Cup final against the Colorado Avalanche. https://t.co/t1KsJAAWMv
AP,"BREAKING: In an @AP interview, Sri Lanka's prime minister says the island nation is desperate for fuel and hopes to acquire more from the Mideast. If that doesn't work, though, he says he's open to buying it from Russia. https://t.co/95UBWnhCUF"
AP,"Phoenix hit 114 degrees, tying a century-old record, while Las Vegas, Denver and California's Death Valley also posted record temperatures as dangerous heat swept across the American Southwest. https://t.co/C4ttHqRZl4"
AP,"""It appears these people did not come here to engage in peaceful events."" Authorities arrested 31 members of the white supremacist group Patriot Front near an Idaho pride event after they were found packed into the back of a U-Haul truck with riot gear. https://t.co/XXbiCN3rbj"
AP,"In Santa Fe, President Joe Biden said he is escalating federal assistance for New Mexico, now facing its largest wildfire in state history. The fire began with U.S. Forest Service prescribed burns that spread out of control, destroying hundreds of homes. https://t.co/Hp2ZWlSGTR"
AP,A suburban Seattle city will pay more than $1.5 million to settle a dispute with a former assistant police chief who was disciplined for posting a Nazi rank insignia on his office door and joking about the Holocaust. https://t.co/Bx5tAkODow
