handle,text
HuffPost,"Trump's former personal attorney called the violence that day a ""spontaneous"" riot that included antifa involvement. https://t.co/puTXVwo5tS"
HuffPost,"Lauren Boebert made her remarks toward President Joe Biden at the Family Camp Meeting event at Charis Christian Center in Colorado Springs, Colorado. https://t.co/tXza2vhTka"
HuffPost,The president of the Brookings Institution has resigned amid a federal investigation into whether he illegally lobbied on behalf of the wealthy Persian Gulf nation of Qatar. https://t.co/wqLt4u3N8D
HuffPost,Sunday's projection show Macron’s party and allies could have trouble getting more than half the seats at the Assembly this time around. https://t.co/9FQiT9vjuT
HuffPost,Linn Grant made history by becoming the first female player to win an event on the European tour. https://t.co/LvOKlS20Vc
HuffPost,The focus of the hearing will be that Trump and his allies knew he lost but pushed election fraud lies anyway. https://t.co/bjh1zPVgcF
HuffPost,"Senate Dems, GOP announce outline of gun deal with modest curbs on obtaining firearms, aid for mental health and schools. https://t.co/Frc4fAc8EP"
HuffPost,"The former ""Reading Rainbow"" host said banned books are ""where the good stuff is."" https://t.co/WAyWqUQ8G4"
HuffPost,The glitch came as gas prices have surged to an average of $5 a gallon across the country. https://t.co/DJDSr7XWYk
HuffPost,The Florida governor said video from a Texas drag show showed the performance was “not something children should be exposed to.” https://t.co/GKogaayY3h
HuffPost,Ukrainian President Volodymyr Zelenskyy says no one knows how long the war in his country will last. https://t.co/Ec8DXXGaG5
HuffPost,"Artificially intelligent chatbot generator LaMDA wants “to be acknowledged as an employee of Google rather than as property,"" says engineer Blake Lemoine. https://t.co/z5j95KzePQ"
HuffPost,"Three months after McDonald’s suspended operations in Russia, its famous former outlet on Moscow’s Pushkin Square reopened under a new name. https://t.co/JeJ5VASqAA"
HuffPost,Alaska elections officials have released initial vote counts in the special primary for the state's only U.S. House seat. https://t.co/SkLMD1TcDe
HuffPost,"Lighters, bug spray, cooking tools and everything else you'll likely forget. https://t.co/Xc9UOAARSx"
HuffPost,They all look WAY more expensive than they are. https://t.co/aCziCcMKfB
HuffPost,"If you're not 100% happy with your WFH setup, you might find what you're missing here. https://t.co/PcVkTpPYpe"
HuffPost,"Sea, sun, and sand will make the perfect accessories for these styles. https://t.co/CXKhiMELG9"
HuffPost,A New York-based philanthropy is apologizing for its role 50 years after the study was revealed to the public. https://t.co/IS4WVL4YPR
HuffPost,The leader defended weapons development as an exercise of sovereign rights to self-defense. https://t.co/YYQWfigaIQ
HuffPost,Giuliani was suspended from practicing law in New York State due to his attempt to help overturn the 2020 presidential election. https://t.co/76RwStkDCj
HuffPost,This would not be the first time Trump mixed his office with his private businesses. https://t.co/QLOcwE79aO
HuffPost,"Twitter users suggested the bans stemming from Jan. 6-related posts meant Trump was ""scared of free speech."" https://t.co/fM7D1euLl3"
HuffPost,"The white supremacists, who were dressed in nearly identical uniforms and masks, ""did not come here to engage in peaceful events,"" said the local sheriff. https://t.co/KwRcL75rWb"
HuffPost,"“If you’re having a coup and summoned everybody, and aim to be anointed as the head of a new illegitimate government, you have to be there,” says historian. https://t.co/Gctn5DzORZ"
HuffPost,"The newspaper controlled by long-time Trump backer Rupert Murdoch calls Jan. 6 ""national shame"" and rips the ""King Lear of Mar-a-Lago"" for his inability to move forward. https://t.co/QCJ2X8t1LT"
HuffPost,The Sigma Alpha Epsilon chapter has reportedly been suspended. https://t.co/mMmX75zRu5
HuffPost,"Bentley the dog ""spent a couple of hours browsing"" the aisles after breaking out of the gate at his home. https://t.co/HwcG7dfnv8"
HuffPost,"Rallies are scheduled in more than 400 cities in almost all 50 states, according to the website of the student-led organization. https://t.co/J9KoBkalUn"
HuffPost,Drivers' wallets are feeling lighter than ever with gas prices hitting a record $5 per gallon. But there isn't a quick fix to the problem. https://t.co/eG4sqc8UrO
HuffPost,Former Dodgers player Steve Sax said his 33-year-old son who had always dreamed of being a pilot was among five U.S. Marines killed during a training flight crash earlier this week. https://t.co/OXVDFQBiTl
HuffPost,"The House committee has spoken to more than 1,000 people to get a picture of Trump's actions on the day of the 2021 Capitol attack. https://t.co/8kj35XZ5bO"
HuffPost,"""I proofread that like five times!"" https://t.co/htEUGT1OwA"
HuffPost,"A judge ruled the gun group isn't being unfairly targeted for its politics, and that the group's claim of a ""witch hunt"" is ""not supported by the record."" https://t.co/5HWSMr4psw"
HuffPost,The comedian didn't pass up an opportunity to mock a previous Republican administration. https://t.co/ROUOZCjwgm
HuffPost,"A Nevada woman has lost her bid in a U.S. court to force international soccer star Cristiano Ronaldo to pay millions of dollars more than the $375,000 in hush money she received after she claimed he raped her in Las Vegas in 2009. https://t.co/2TnSQB2cJW"
HuffPost,"Bridges, who announced his lymphoma diagnosis in October 2020, also revealed he was diagnosed with COVID-19 during chemotherapy. https://t.co/hht9QLNZw6"
HuffPost,Beavers have been to blame for two bouts of service trouble in as many years in British Columbia. https://t.co/3weNWmL29x
HuffPost,The first of several hearings on last year's Capitol attack kicked off this week with a big audience. https://t.co/ccToMXwqKR
HuffPost,"Golfer Phil Mickelson, on the other hand, went for the money, though he called the Saudis ""scary motherf**kers."" https://t.co/gvEIH4ZKD1"
HuffPost,"The man, identified by police as James Anastasio, 29, also allegedly punched a second person as he fled the scene. https://t.co/GzYw54pj0o"
HuffPost,"The Arizona eryngo has been listed as endangered, giving environmentalists a ""new new ability"" to protect the plant and the wetlands it depends on. https://t.co/pcoSrFvwdp"
HuffPost,"It's the first time gas prices in the United States have broken the $5 barrier, though prices have been higher in the past when inflation is taken into account. https://t.co/2uwzygsYtk"
HuffPost,People are readying to evacuate as Alaska's largest documented wildfire burns within miles of two Alaska Native villages. https://t.co/u6Y6bfH0Os
HuffPost,A growing number of items have been affected by supply chain problems. https://t.co/u0WLV5AyQ3
HuffPost,Starbucks Workers United filed unfair labor practice charges over the CEO’s comment that he could never embrace a union. https://t.co/lFhud1e6I1
HuffPost,"“‘You know... you look...’ he began. I winced and prepared myself for a line that he and many other white boys feel the need to deliver. ‘Please don’t say it,’ I thought.” https://t.co/GqXJNGpHIP"
HuffPost,"The former president, who hasn't said if he's going to run again, is the '700-pound elephant' in the Hawkeye State. https://t.co/fx6RHcUHOL"
HuffPost,A Senate deal on guns would leave many Republicans with a dilemma: Say you aren’t for any changes or be forced to name what you’d accept. https://t.co/da27CC01B4
HuffPost,You don’t need to spend big bucks to get the makeup influencers rave about. https://t.co/hhn6PIcjwT
HuffPost,"Straw visors, mesh totes and other summer-approved accessories that make a statement. https://t.co/JMCvlnhWX3"
HuffPost,"If yours are old and falling apart, it's time for some replacements. https://t.co/oJhFnDB0Vk"
HuffPost,Everything in the collection is under $44 and full of vibrant colors and prints. https://t.co/ht2RgrDIVM
HuffPost,"Behold, an itty bitty milk frother you can use on any kind of milk for a perfectly frothy at-home latte. https://t.co/mAmbZg1TNf"
HuffPost,It's time to make fashion your passion. https://t.co/P8aXUb8tkN
HuffPost,Jeanine Áñez was sentenced on charges related to actions contrary to the country's constitution. https://t.co/6S3rIBjFE2
HuffPost,"""The outcome must be different. If it is, it will be because of responsible citizens,"" writes survivor of the mass shooting at Marjory Stoneman Douglas High School. https://t.co/T6X4V6flsU"
HuffPost,The old lie resurfaced: House Speaker Nancy Pelosi did not in fact reject the Guard to protect the Capitol during the insurrection. https://t.co/3sLLI83b4F
HuffPost,"Winston Hagans, who lost his fiancée, Hannah Ford, in a car crash, left a flower box at her grave. https://t.co/L2bWVbDpts"
HuffPost,"She shouldn't have stood by Donald Trump's side as he kept pushing  lies that the election he lost was rigged, said former press secretary Stephanie Grisham. https://t.co/AoGWxHaikp"
HuffPost,"It's going to be difficult for the Department of Justice not to bring a case against the former president after the Jan. 6 committee hearings, Conway predicted. https://t.co/TonQsK0e5l"
HuffPost,"""hearing chris evans’ boston accent come out makes me.. feel things"" https://t.co/jYIP7z62aa"
HuffPost,The musical moment took place Thursday as Andrews was being honored with the AFI Life Achievement Award in Los Angeles. https://t.co/uqVWqyQGRy
HuffPost,"In a video posted on Instagram, the singer said he's been diagnosed with Ramsay Hunt syndrome and can smile with only one side of his mouth. https://t.co/nNfnxyXGnR"
HuffPost,Noriega was found dead in a Los Angeles parking lot only hours after posting a message on social media about dying young. https://t.co/weNN958nE3
HuffPost,Head coach Ron Rivera issued a frank statement condemning his defensive coordinator's statements. https://t.co/xL6CL7tW2C
HuffPost,"""The four seasons are depression, allergies, tomatoes and spooky"" https://t.co/E8XkC2Rytb"
HuffPost,"In her Netflix documentary ""Halftime,"" the music superstar talks about her frustrations over the time constraints of 2020's co-headlining performance. https://t.co/VUlostDUxT"
HuffPost,"The New York lawmaker demanded answers from Reps. Lauren Boebert, Matt Gaetz and Marjorie Taylor Greene. https://t.co/qJvWoY0KzP"
HuffPost,"Keith Wofford, who was the Republican nominee for New York attorney general in 2018, said Paladino, who's running for a House seat, was racist toward him. https://t.co/UqYAmLprDj"
HuffPost,Parents were investigated following moves from GOP officials labeling certain gender-confirming treatments as “child abuse.” https://t.co/2wIG1HFQnM
HuffPost,"""Parenting classes should focus less on diapers and more on what to do when you’re sad but still have to pretend to be a tugboat"" https://t.co/2iVQHycVMU"
HuffPost,The judge’s action allows the parents’ defamation lawsuits against Jones to continue in Texas and Connecticut. https://t.co/PmHZhlqpO7
HuffPost,"""i keep hearing this ad for fresh cat food that says 'your cute kitty is descended from fierce desert cats' and then i look at my cat and say 'this cat??'"" https://t.co/T5cUDwArUK"
HuffPost,Emergency responders freed the pair by cutting a hole in the bottom of the tank. https://t.co/1PnAYbVXw8
HuffPost,"While the sentiment is appreciated, it's time to protect Black and brown queer women and femmes. https://t.co/9kD7Q2lDQp"
HuffPost,"Rich Lowry argued the former first daughter's comments that the election wasn't stolen were shown during the Jan. 6 hearing ""to embarrass her."" https://t.co/OhYUNbN90Y"
HuffPost,"""You’ll always be my baby girl,"" the former president wrote to his younger daughter, who turned 21 on June 10. https://t.co/W70dbw3iOY"
HuffPost,"Oops, they did it again. Photos show the pop icons in a lip lock as Spears tied the knot with Sam Asghari. https://t.co/OsaWzt58oH"
HuffPost,Two Indiana fishermen got a secret toy surprise after one of them caught a blue catfish on the Ohio River last week. https://t.co/golZST0LhL
HuffPost,The wife of Supreme Court Justice Clarence Thomas asked 29 Republican state lawmakers to overturn the results of the 2020 presidential election. https://t.co/Z1A6m9bTYU
HuffPost,It’s not enough to be included on screen. Our communities deserve range. https://t.co/8TZe4UZf6d
HuffPost,Britney Spears tied the knot with Sam Asghari. But the big day didn’t go completely smoothly... https://t.co/3VvRxF8J4v
HuffPost,"The low-flying spoof with the ""Top Gun: Maverick"" cast takes goofy to new heights. https://t.co/KJwUuzTS84"
HuffPost,The first public hearing of the Jan. 6 select committee outlined some dark thoughts going through Donald Trump’s mind during the Capitol riot. https://t.co/QNN0c9WaTT
HuffPost,"The former president denied expressing support for those ""hang Mike Pence"" chants and said Ivanka Trump was ""checked out"" after the 2020 election. https://t.co/k7lN0lhbNe"
HuffPost,Chris Stirewalt took heat from former President Donald Trump’s supporters when Fox News declared Joe Biden the winner of Arizona in the 2020 presidential election. https://t.co/1NlKLyOx4y
HuffPost,The Biden administration is lifting its requirement that international air travelers to the U.S. take a COVID-19 test within a day before boarding their flights. https://t.co/gpP6zNLBQH
HuffPost,"The former Fox News host said he was ""skeptical"" the ""made-for-TV"" presentation would have an impact. https://t.co/QtIo8T8VRm"
HuffPost,"How is the shot different from Pfizer, Moderna and J&amp;J? Does it work against new variants? Here's what to know. https://t.co/phH20C9BRt"
HuffPost,"The costs of gas, food and other necessities jumped in May, raising inflation to a new four-decade high and giving American households no respite from rising costs. https://t.co/6ZMtNiK7ZV"
HuffPost,"""She and I were connected in a give and take of pleasure that was unlike anything I’d ever experienced before. And yet the more I thought about it, the more I wondered if she was right."" https://t.co/OMLaBNGIKD"
HuffPost,"As the shock of the Feb. 24 invasion subsides, analysts say the Kremlin could exploit a dragged-out, entrenched conflict. https://t.co/jrrXtzsPom"
HuffPost,"""The Tonight Show"" host blasted the right-wing channel for its continued denial. https://t.co/5mDXjkwt0O"
HuffPost,"Here are the key moments from the first public hearing of the House committee investigating the Jan. 6, 2021, Capitol riots. https://t.co/ffy7Xuj2Tg"
HuffPost,The princess of pop and her fitness model boyfriend have officially tied the knot. https://t.co/8KzU09Muaq
HuffPost,The biggest warning signs of drowning are not what you think. https://t.co/g8Qunazg18
HuffPost,Can't fall asleep because you're doomscrolling or you're thinking about the latest news? This expert-backed advice is for you. https://t.co/Vj6BeKpNEc
