handle,text
MSNBC,"What happened when the lawyer who fooled the world had to stand trial? Find out in the final episode of the Sky Original series “Devil’s Advocate: The Mostly True Story of Giovanni Di Stefano,” tonight at 10pm ET on @MSNBC and streaming on @peacocktv. https://t.co/TfsRZ2CFmB"
MSNBC,"She had already been slammed for homophobic and anti-Semitic comments. 

Then the Justice Department got in touch. (via @MaddowBlog) https://t.co/VoaczNDaPt"
MSNBC,.@julito77: The buyers of this talk radio station promise 'journalistic integrity.' Conservatives are scared. https://t.co/WExz5Dg5H5
MSNBC,Republicans didn't cause Biden's predicament. They're just watching it. https://t.co/rnoM7FroyA
MSNBC,"Senators announce framework agreement on new gun legislation which includes ""red flag"" laws and enhanced background checks on buyers. https://t.co/QlieswtLtk"
MSNBC,DeVos joins an amazingly long list of Team Trump members who have denounced the former president. (via @MaddowBlog) https://t.co/3bFCj3sfii
MSNBC,Richard W. Painter: The Jan. 6 insurrection did not come cheap. https://t.co/EwGb5P9xpj
MSNBC,The Texas senator's relationships with Donald Trump and John Eastman raise questions about his complicity. https://t.co/36MVndLtwc
MSNBC,"She had already been slammed for homophobic and anti-Semitic comments. 

Then the Justice Department got in touch. (via @MaddowBlog) https://t.co/VV3VVwW9YY"
MSNBC,"Instead of governing, Republicans have begun making plans to investigate Hunter Biden. And 'big tech'. And Dr. Anthony Fauci.

Now, add the Jan. 6 committee to the list. (via @MaddowBlog) https://t.co/l82WbSkZWF"
MSNBC,"To believe or not to believe? Watch the final episode of the Sky Original series “Devil’s Advocate: The Mostly True Story of Giovanni Di Stefano,” Sunday at 10pm ET on @MSNBC and streaming on @peacocktv. Plus, if you missed episodes one and two, you can catch up on Peacock. https://t.co/7HO86DGRZa"
MSNBC,"""Love &amp; The Constitution,"" a feature documentary from @MSNBC_Films, shares an inside view into the life of Jan. 6th select committee member Rep. Jamie Raskin and an intimate look at both a nation and congressman in crisis. ""Love &amp; The Constitution"" is streaming now on @peacocktv. https://t.co/Ug3KdYQ9nE"
