handle,text
TheAtlantic,"During WWII, a farmer and member of the French resistance rescued an American pilot and hid him from the Nazis. More than 70 years later, their families are still friends, @julieebeck reports for “The Friendship Files:"" https://t.co/tSyxCja4Iw"
TheAtlantic,"“I was by myself in a country that felt huge and overwhelming … Abhi was my anchor.” For ""The Friendship Files,"" @julieebeck talked with two friends who immigrated to the U.S. about culture shock and how they became each other’s cheerleader and confidant: https://t.co/B7Nnk4w95G"
TheAtlantic,"""Why were people filming an ordinary, solitary experience and sharing it online?"" @morganhikaru writes. ""And why were millions of strangers, myself included, watching them every night?"" https://t.co/bE5aLix0HJ"
TheAtlantic,"""What risk would be posed to society if Dan Muessig were to wake up at home in Pennsylvania today rather than arise in a concrete cell in West Virginia?"" @ebruenig writes: https://t.co/nL3gQcKHDE"
TheAtlantic,"""I regret to inform you that Joe Biden is right to go to Saudi Arabia,"" @ExumAM writes: https://t.co/01RGrfYRgB"
TheAtlantic,"“It is unlikely to think that someone who was trained by Strom Thurmond would end up being like brothers with me, my father being a civil-rights activist.” @revdrbarber and @wilsonhartgrove tell @julieebeck how their friendship fuels their activism: https://t.co/RtjSMU2S8H"
TheAtlantic,"""The washing-machine door broke. We hand-washed / for a week. / Left in the tub to soak, the angers began to reek."" Read a poem by @ae_stallings, published in The Atlantic in 2014: https://t.co/xSmeKq8NoQ"
TheAtlantic,"HBO’s “Irma Vep” may seem to be built solely for cinephiles. But it’s accessible and self-aware in how it giddily honors and skewers the modern entertainment industry, @shirklesxp writes:  https://t.co/FhiuMIAthi"
TheAtlantic,"During WWII, a farmer and member of the French resistance rescued an American pilot and hid him from the Nazis. More than 70 years later, their families are still friends, @julieebeck reports for “The Friendship Files:"" https://t.co/ZeT8Zvhvc9"
TheAtlantic,"Today’s Atlantic-approved book recommendation: ""Prodigal Summer"" by Barbara Kingsolver, which tells three interwoven stories about a rural Appalachian town where disorder is seeping into nature, Heather Hansman writes. Find more suggestions here: https://t.co/IUWUpWKgq5"
TheAtlantic,"In the worst-case scenario, monkeypox could become the next genital herpes. @rachgutman on the three possible futures for the viral outbreak in the U.S.:  https://t.co/tLcBiA1hkv"
TheAtlantic,"""Why were people filming an ordinary, solitary experience and sharing it online?"" @morganhikaru writes. ""And why were millions of strangers, myself included, watching them every night?"" https://t.co/ykUKRDO6uG"
TheAtlantic,"“I was by myself in a country that felt huge and overwhelming … Abhi was my anchor.” For ""The Friendship Files,"" @julieebeck talked with two friends who immigrated to the U.S. about culture shock and how they became each other’s cheerleader and confidant: https://t.co/Xb5yTCwonw"
TheAtlantic,"""I regret to inform you that Joe Biden is right to go to Saudi Arabia,"" @ExumAM writes: https://t.co/JSjRdn6Kju"
TheAtlantic,"If we stopped using prisons to warehouse psychiatric patients, we could heal people and save tax dollars, @NormOrnstein and Steve Leifman write: https://t.co/sdh2snxU7q"
TheAtlantic,"“I held patients’ hands during the procedure,” writes @ellenbooks. “Awkward though I was, I was part of an activist community of care.”  https://t.co/tDtWuE2AXZ"
TheAtlantic,"Almost all of us are bound to get COVID many times in years to come, writes @KatherineJWu. What, exactly, will that mean for our health? https://t.co/8GFayRasXn"
TheAtlantic,"In 1939, Hitler secretly sent an envoy to negotiate with Pius XII at the Vatican—a series of encounters so sensitive they were kept secret for eight decades and are revealed now for the first time. https://t.co/CKye5MMJ9k"
TheAtlantic,"“We don’t deserve this.” @cray_kate shares letters written by students around the country, expressing their fear, sadness, and desire for change after the shooting in Uvalde, Texas.  https://t.co/dUjeh0kagQ"
TheAtlantic,"The Indian blockbuster “RRR” has broken through for American audiences for likely a few reasons—but especially because it indulges in an action extravagance that even the biggest-budgeted Marvel movies seem curiously afraid to embrace, @davidlsims writes: https://t.co/odjaIcHUPT"
TheAtlantic,"""We can be free, but only if we regulate guns—just as the Second Amendment tells us,"" @ThomasPCrocker1 writes: https://t.co/VuWg7HW4PU"
TheAtlantic,.@jordanmcalhoun on why HBO’s “Hacks” proves that the consequences of overwork aren't always enough to get someone to stop doing it. https://t.co/uscTly5d9c
TheAtlantic,"In Tuesday's recall election, San Francisco District Attorney Chesa Boudin was voted out of office. It may not have been so clear until now, but San Franciscans have been losing patience with the city’s leadership for a long time, @nelliebowles reports: https://t.co/yIPTGGcDod"
