handle,text
cnn,The Tony Awards celebrate the best in theater and this year's celebration is returning to Radio City Music Hall for the first time since the pandemic. https://t.co/U7wlYgTd8P
cnn,His disinformation threatens democracy. A new CNN Special Report – Megaphone for Conspiracy – Alex Jones begins tonight at 8 p.m. ET/PT https://t.co/cVrkukZ7DB
cnn,Country music superstar Toby Keith has announced he has been battling stomach cancer since late last year but has received treatment and plans to return to the stage soon. https://t.co/xkqTAciOGq
cnn,"A man fatally shot his infant daughter before killing himself in Georgia on Sunday morning after kidnapping the baby from her mother, according to police. https://t.co/QuZxd2apZS"
cnn,"Former President Donald Trump's efforts to play kingmaker have had, up to this point, a mixed record of success in high-profile Republican primaries this year | Analysis by @AdamWollner https://t.co/D7nkfzg0nw"
cnn,"Social media star Jimmy Darts has given away over $100,000. He looks for strangers to perform random acts of kindness and hands them money. https://t.co/AVJvooA06u https://t.co/TRC9Esqkww"
cnn,"How did Watergate set the stage for future White House scandals? Get inside the scandal like never before when the new CNN Original Series, Watergate: Blueprint for a Scandal, continues tonight at 9 p.m. ET/PT #WatergateSeries https://t.co/SC5IXeq2AO"
cnn,"This one law could put a fire under Apple’s designers to shift fully to USB-C and potentially finally kill the Lightning charger for good | Analysis by @allisondmorrow
https://t.co/gizqJ6v4jD"
cnn,"A bipartisan group of senators has announced a proposal in principle for gun safety legislation. @DanaBashCNN speaks with Sen. @ChrisCoons (D-DE) about how the group reached the plan. @CNNSotu #CNNSOTU

Watch the interview: https://t.co/cEm6c91rFg"
cnn,"55 years ago today, the Supreme Court ruled their interracial marriage was legal https://t.co/ajXi6AlSq4"
cnn,"CNN's @FareedZakaria argues that the best way for the US to keep China in check is to ensure that Russia is defeated in Ukraine.

Watch #FareedsTake below: https://t.co/9DqGXA7zcr"
cnn,A mother and her son with autism were stranded in Aruba after the teen had an episode on a plane. Now she hopes airlines will rethink their policies. https://t.co/4qhHaU1FKG
cnn,The end of the Jurassic era arrived with a deafening roar at the box office. https://t.co/qaYTJOK7Sm
cnn,"CNN's @BrianStelter speaks with @ekaramurza, the wife of imprisoned Russian journalist and former politician Vladimir Kara-Murza, who's currently facing up to 15 years in prison for speaking out against Russia's invasion of Ukraine.

Watch the interview: https://t.co/Mdys9ArtOA"
cnn,Former Dodgers player Steve Sax's son was among the five Marines killed when their aircraft crashed during a training mission in California on Wednesday. https://t.co/whx3JJWtcD
cnn,"Why won't Americans use the metric system? In short, American exceptionalism. https://t.co/oOum7wcjxc"
cnn,"A bipartisan group of senators has reached an agreement on gun control and also announced framework for new legislation.
https://t.co/9u3Dcou3eS"
cnn,"If you're looking for ways to protect yourself financially, while also making the most of what you have, here are some options to consider. https://t.co/AasIneTNfU"
cnn,Join CNN's Drew Griffin for Megaphone for Conspiracy – Alex Jones. A new CNN Special Report exploring his destructive impact on democracy. Tonight at 8 p.m. ET/PT https://t.co/AS9JhQPMff
cnn,"Rep. Alexandria Ocasio-Cortez says she will not commit to backing President Joe Biden in the 2024 presidential election right now, saying instead that “we’ll cross that bridge when we get to it.” https://t.co/8Er9PKM1HO"
cnn,"With voters feeling the pain of rising prices, they may take out their frustration on the party in power.
https://t.co/PrFJM7cdAg"
cnn,More than 230 million people – over 70% of the lower 48 – will see temperatures of 90 or above over the next week. https://t.co/4vULELF5Zh
cnn,"Biden said the federal government will cover the full cost of the wildfire response in New Mexico, while also acknowledging the role the US Forest Service played in starting the Calf Canyon/Hermits Peak Fire.
https://t.co/0kRFy9Zdri"
cnn,"""It will be hard, but I'm optimistic.""

@DanaBashCNN speaks with former Arizona lawmaker turned activist @GabbyGiffords about her grassroots organization dedicated to stopping gun violence in the US. @CNNSotu #CNNSOTU https://t.co/d2xPY0xlNW"
cnn,Germany's Lufthansa Technik has developed a cabin concept for customized private planes that takes inspiration from another must-have item for the wealthy -- the superyacht. https://t.co/tqiGoMo3Fc
cnn,"Within weeks, the Supreme Court will issue an opinion in a blockbuster abortion case. CNN answers your questions on what it would mean if Roe v. Wade is overturned. https://t.co/VR8qxxFB7m"
cnn,"""It's more likely than not we'll have a recession within the next two years.""

Former Treasury Secretary @LHSummers tells @DanaBashCNN why he disagrees with current Treasury Secretary Janet Yellen's projection that a recession is not on the horizon. @CNNSotu #CNNSOTU https://t.co/gzrR3B6TBy"
cnn,Americans are facing grocery store price hikes at levels not seen since the 1970s https://t.co/a48PcPf7vL
cnn,More rate hikes are likely in the coming months because Jerome Powell and the rest of the Fed can't declare victory against rampant inflation anytime soon. https://t.co/pTTRKlZpYQ
cnn,"""Why not stay and fight the fight?""

@DanaBashCNN asks GOP lawmaker @RepJacobs about his choice to not seek another term in Congress after sharing his support for new gun restrictions. They also discuss the gun laws he wants to pass before he departs. @CNNSotu #CNNSOTU https://t.co/4QF7MG7fLY"
cnn,Rebranded McDonald's restaurants have been unveiled in Russia -- with a new name and a new logo.  https://t.co/9dkawlwO5e
cnn,"""When you don't know which of your colleagues were part of a potential conspiracy, then we need to find out…""

Rep. @AOC tells @DanaBashCNN why she tweeted at GOP colleagues directly, asking if they requested pardons following the Capitol attack on January 6. @CNNSotu #CNNSOTU https://t.co/k2Ql3Wt5DK"
cnn,"""Do you believe the Justice Department should indict the former president?""

@DanaBashCNN questions member of the House Select Committee investigating January 6 @RepRaskin about potential criminal charges against former President Trump over the Capitol attack. @CNNSotu #CNNSOTU https://t.co/c14NvhGC8E"
cnn,A bipartisan group of senators is pushing to announce the outlines of an agreement as soon as today on new measures to address gun violence https://t.co/opsoAOA72H
cnn,"Sarah Palin will advance in Alaska's House special primary election, CNN projects https://t.co/pGePjUecYV"
cnn,"Conservative election attorney Ben Ginsberg will testify to the House January 6 investigative committee during its next public hearing tomorrow
https://t.co/7xT3jwj9Nq"
cnn,"Couponing is on the rise as record-high inflation has led to tightening of household budgets nationwide. 

Watch CNN's @EvanMcS report: https://t.co/oumefIADQ6"
cnn,"“It was crazy, it turned into a circus within minutes.” 

One lucky driver couldn't believe his eyes when he came across a gas station's incredible price glitch. https://t.co/x2HPnmmrPe https://t.co/L8ZwOgp6fy"
cnn,"Cleanup efforts in the suburbs of Kyiv, Ukraine, are underway as Russia's invasion continues. Volunteers are working to restore areas that were destroyed by Russian forces.

Watch @SalmaCNN's report here: https://t.co/OJCCaCIMDm"
cnn,"After more mass shootings, calls are growing louder to restrict access to the AR-15. 

In the Sunday edition of CNN 5 Things, @joshscampbell examines what makes the AR-15 so lethal and how law enforcement has adjusted its policies so far. 

Listen here. https://t.co/cJOovEkHqX https://t.co/pOQfv6H5uR"
cnn,"Female animals are just as promiscuous, competitive, aggressive and dynamic as their male counterparts and play an equal role in driving evolutionary change, according to a new book. https://t.co/YTb1njQQ5M"
cnn,"The 1991 film, which featured an interracial romance between Denzel Washington's Demetrius and Sarita Choudhury's Mina, has been rereleased. Director Mira Nair recalls how the story evolved and the challenges she faced while trying to make the film. https://t.co/Lc9Swj8ymP"
cnn,This traffic stop between a Black man and a White state trooper began with fear. It ended with a surprising act of kindness. https://t.co/kRdmykfxFn
cnn,Inflation is hitting everyone hard -- even Snoop Dogg https://t.co/y2MvfnEisA
cnn,"Ukrainians are using 3D technology to preserve hundreds of cultural artifacts in a digital archive, far away from Russia's attacks. https://t.co/8MrCSgqSnf"
cnn,"William Shatner — the 90-year-old actor, author, and, more recently, the oldest person ever to travel to space — is showing no signs of slowing down https://t.co/lNzSczPOUk"
cnn,"Their records were locked in caves during the pandemic. Now they say an ""unreasonable delay"" is still stalling their citizenship applications. https://t.co/vxP0GY7b0Y"
cnn,They were teenage sweethearts. Now he's a single dad planning a funeral. https://t.co/GpkaEXJoGR
cnn,"A woman was awarded $5.2 million in a settlement from insurance company GEICO after contracting a sexually transmitted disease from her partner in his vehicle, which was insured by the company, court documents show.  https://t.co/2c8jyeUBpM"
cnn,Charl Schwartzel wins the inaugural LIV Golf individual competition and $4 million prize https://t.co/VI8HJLFQhs
cnn,"Chinese Defense Minister Wei Fenghe accused the United States of being a ""bully"" and ""hijacking"" countries around the region, during a combative speech https://t.co/8pgDJzlfPy"
cnn,Commuters on an interstate in Oklahoma City were treated to a free rodeo show when a cowboy had to lasso a loose cow during morning traffic. https://t.co/LDKGuMWDPT https://t.co/7LbuYziGbY
cnn,Germany's Lufthansa Technik has developed a cabin concept for customized private planes that takes inspiration from another must-have item for the wealthy -- the superyacht. https://t.co/D4bCh3nR3n
cnn,At first glance Bakhmut doesn't look like a city at war. https://t.co/iqICKkL8BB
cnn,"A 29-year-old man was arrested and charged after he allegedly assaulted two men following an NHL playoff game at Madison Square Garden this week, the New York City Police Department told CNN. https://t.co/0zIgPf4u3g"
cnn,"Just as summer heats up, the US has lifted its long-standing requirement for all travelers entering the country to present a negative Covid-19 test. https://t.co/PKNPe76F07"
cnn,"Idaho police officers arrested 31 people who are believed to be affiliated with the White nationalist group called Patriot Front, after they were seen gathering near a Pride parade, police said. https://t.co/m0Qpol2FAg"
cnn,It began as a family argument and ended in tragedy – a teenage girl stabbed to death by her elderly grandfather in a case that shocked a nation https://t.co/BsQk5MjZV5
cnn,Americans are facing grocery store price hikes at levels not seen since the 1970s https://t.co/wD39H4Jh3S
cnn,"Biden said the federal government will cover the full cost of the wildfire response in New Mexico, while also acknowledging the role the US Forest Service played in starting the Calf Canyon/Hermits Peak Fire https://t.co/kB60Pss6EQ"
cnn,"Mexican immigration authorities have dissolved a caravan of almost 7,000 people that had departed the southern city of Tapachula and was headed to Mexico City, the Mexican National Institute of Migration says https://t.co/QWxaFRUuyp"
cnn,Three people were injured after an 18-wheeler crashed through a concrete wall and into an empty pool at a Texas hotel https://t.co/C3t04P053i
cnn,"William Shatner — the 90-year-old actor, author, and, more recently, the oldest person ever to travel to space — is showing no signs of slowing down https://t.co/YL7mXbfvJc"
cnn,"A recently retired truck driver who traveled across the country for decades has been charged in a California woman’s death, just weeks after he was arrested in Texas for another woman’s killing, prosecutors say https://t.co/oiOW5Hpzwv"
cnn,"31 people believed to be affiliated with the White nationalist group Patriot Front were arrested for conspiracy to riot near a Pride parade in Idaho, police say https://t.co/Qhv3akcehv"
cnn,"Moderna’s Covid-19 vaccine is safe and generated an immune response in children ages 6 months through 17 years that’s comparable to the response in adults, according to documents posted by the US Food and Drug Administration. https://t.co/IlLz1gqj2P"
cnn,Watch: Police arrested 31 people they believe to be affiliated with the White nationalist group called Patriot Front on charges of conspiracy to riot outside a Pride parade in Idaho. CNN's @juliettekayyem and @PamelaBrownCNN have more: https://t.co/87dbIEzsKH
cnn,A New York judge rejected an attempt by the National Rifle Association to end an investigation of the organization by the state's top attorney https://t.co/X12xctx2ev
cnn,His disinformation threatens democracy. A new CNN Special Report – Megaphone for Conspiracy – Alex Jones begins Sunday at 8 p.m. ET/PT on CNN https://t.co/lI4RVylhaU
cnn,One person died and three firefighters were wounded after a brush fire approached a structure containing commercial-grade fireworks in North Carolina. https://t.co/lbRdoyZbZV
cnn,The federal civil case alleging that Portuguese soccer player Cristiano Ronaldo raped a woman in a Las Vegas hotel room in 2009 was dismissed https://t.co/w8tb8xtESJ
cnn,"Former Attorney General William Barr told Fox that he holds former President Donald Trump ""largely responsible"" for people going to the Capitol on January 6, but doesn't think Trump committed a crime. Watch here: https://t.co/PXlryL6wWq"
cnn,"Nine people were injured in Los Angeles after being struck by a driver who claimed someone had pointed a gun at him, causing him to swerve, police say https://t.co/apjXOLHO0z"
cnn,"The US economy grew by 5.7% in 2021, but more than 50 other countries had faster growth that year https://t.co/7JNV5oCbr5"
cnn,Mo Donegal wins the 154th running of the Belmont Stakes https://t.co/6XlSqBuYu3 https://t.co/yTc3E8kuV6
cnn,"7-year-old Drew, who has Down syndrome, told everyone he wanted to be a UPS driver. UPS surprised him with a miniature version of their truck. https://t.co/4rftLqxrfm https://t.co/GeME9afzqu"
cnn,Jordan Letschert and Robby Price are teaching their son Kellan how to talk about their family. But recent anti-LGBTQ legislation has led them to reconsider if this is a good place to raise him https://t.co/DmHhjBj5pf https://t.co/1qgdckyQaT
cnn,"Some are exploring what once seemed like an unlikely option: adjustable rate mortgages, or ARMs https://t.co/t9ehpahqC7"
cnn,"With hopes of identifying the female victim of a 1975 homicide, Connecticut authorities exhumed a body in a Hamden cemetery Wednesday, only to find the remains of someone else https://t.co/NBZtOZHxsb"
cnn,"More than 20 million TV viewers tuned in to Thursday's prime-time presentation about the January 6 attack, and it reached a far larger number through all manner of social and old-school media https://t.co/nlTx3HB1uy"
cnn,"A police officer in Mississippi was killed Thursday responding to a domestic disturbance call that left a woman dead, according to Meridian police Chief Deborah Young https://t.co/bJOCMf62bc"
cnn,"Sunday at 9 p.m. ET/PT on @HLNtv: @DonnieWahlberg takes you behind a twisted investigation into how at least two young women were violently taken and how a third cheated death to become the key to bringing a killer to justice. On the next #VeryScaryPeople

https://t.co/opRAUW20dK https://t.co/3f68v9xTdA"
cnn,"A fund created for the victims of the massacre at a Uvalde, Texas, elementary school has garnered more than $11 million from donations worldwide, city officials said Friday https://t.co/aPWZZw4SC6"
cnn,The parents of a 10-year-old victim of the massacre at a Uvalde elementary school last month say they miss their son -- even though he is one of the survivors https://t.co/MmMRr4RT7a
cnn,Here's everything you need to know about the new US travel policy ⬇️ https://t.co/VsUAz6mGlH
cnn,They were teenage sweethearts. Now he's a single dad planning a funeral. https://t.co/5XMYSvrf4T
