handle,text
guardian,"Monkeys favour music over screen time, say researchers https://t.co/IEAlZMPQol"
guardian,‘A whirlwind of sadness’: search for pair missing in Brazil goes on even as hope evaporates https://t.co/2IFCyjUlOP
guardian,"Four in 10 pandemic-era mutual aid groups still active, UK data suggests https://t.co/HiFoY1R02t"
guardian,Food plan for England condemned by its own lead adviser https://t.co/euVLCbmKi3
guardian,CBI warns UK government over Northern Ireland protocol https://t.co/IeyG9YnOK1
guardian,"Simple eye examination could predict heart attack risk, says study https://t.co/sgTD4H5c6O"
guardian,England’s attack has lost its rhythm with Southgate suddenly short of options https://t.co/K5LNxMoPqP
guardian,"Manchester United players have ‘lot to do’ to make World Cup, warns Southgate https://t.co/KcDWryVP2I"
guardian,‘Nobody saw it coming’: Steve Clarke searches for answers to Scotland slump https://t.co/Nioh9Rl5Yt
guardian,"Morning mail: China-Australia relations thaw, US gun control deal, Covid honour roll https://t.co/oFhVCmWxSn"
guardian,"Guardian front page, Monday 13 June 2022: Overriding Northern Irish deal will damage UK investment, warns CBI https://t.co/vxHFyzV3K9"
guardian,England and Joe Root reward fans’ optimism with riotous display of batting | Jonathan Liew https://t.co/qwjWNdIOoB
guardian,"Welsh fly-half Phil Bennett, ‘a player with stardust in his boots’, dies aged 73 https://t.co/Y9jILh7mep"
guardian,Capitol attack panel members urge DoJ to consider criminal charges for Trump https://t.co/9jlkCE5u9m
guardian,Stephen Thompson obituary https://t.co/wB4r8muoM8
guardian,Emmanuel Macron’s coalition level with new leftwing group in French elections https://t.co/vmupzZS3tI
guardian,Sinead O’Brien: Time Bend and Break the Bower review – a lack of imaginative verve https://t.co/DjeBWVjJSr
guardian,Ferrari suffer double disaster at Azerbaijan GP as Max Verstappen takes the win – video https://t.co/dIJOJsqPbh
guardian,Nicola Jennings on Boris Johnson’s food strategy for England – cartoon https://t.co/VIoE71wHOb
guardian,McDonald’s restaurants in Russia reopen under new brand https://t.co/w9pbiZVt6O
guardian,Unions call for delay to Rwanda policy until legal position fully tested https://t.co/5FHo89DFN7
guardian,We need stories from older mothers – and from women who don’t want children too | Letters https://t.co/282JpiVw8G
guardian,Once-in-a-generation Roby breaks Super League appearance record https://t.co/HDvTkRJuTV
guardian,Stars align for Cuban migrants as record numbers seek better life in US https://t.co/p0QLCMasn8
guardian,Danny Care poised for first England appearance in four years after recall https://t.co/l3VB19XQ3Q
guardian,Nations League: Erling Haaland feasts on Swedes in Norway’s triumph https://t.co/sBzGZ0A12C
guardian,Women must insist on pain relief during medical procedures | Letters https://t.co/VdzUktTK2b
guardian,Google engineer put on leave after saying AI chatbot has become sentient https://t.co/041uZkrIFE
guardian,"George Ezra: Gold Rush Kid review – introspective, sunshine-ready pop https://t.co/5IOZrDX9On"
guardian,Will a kiss on the head bring victory for Emmanuel Macron? https://t.co/NQe0vw65nh
guardian,"Brace for heatwaves next week and more often, says Met Office https://t.co/kRYL6f76Px"
guardian,John Waters: False Negative review – the 'sultan of sleaze' at the Barbican https://t.co/0xJJthM4gf
guardian,Australian football can learn from Peru whether Socceroos make World Cup or not | Joey Lynch https://t.co/0SunpStR8y
guardian,Toyota secure fifth consecutive victory as fans flock to Le Mans 24 Hours https://t.co/gLtKeyutni
guardian,"Don’t miss your chance to win fabulous prizes when you vote in the Observer Food Awards 2022. 

Nominate your favourite restaurant, place to drink, social media star and more.

Tag your favourites below and vote today: https://t.co/VtJHlg59zX https://t.co/J7JDtses3h"
guardian,It was Tory austerity that smashed Britain’s public services | Letter https://t.co/0xHJE5Nimd
guardian,Is the Conservative party the Woolworths of politics? | Brief letters https://t.co/ytadWytDgu
guardian,Why is lettuce so expensive? https://t.co/abykCE9u7r
guardian,Roglic seals Critérium du Dauphiné triumph as Jumbo-Visma dominate https://t.co/itF5bfSKAC
guardian,Thousands of families miss out on healthy food benefit due to IT failures https://t.co/w6DyQNKi68
guardian,US senators reach bipartisan gun control deal after recent mass shootings https://t.co/JivLRqqyn9
guardian,Hundreds gather in Manchester to oppose Rwanda deportation plan https://t.co/XHZJM2LJ9A
guardian,EasyJet trims June flight schedule to help deter further airport chaos https://t.co/JzoOxApqcE
guardian,La Bohème review – Death stalks Puccini’s lovers at Glyndebourne https://t.co/ZRp9eSMmQE
guardian,"Paula Rego, an appreciation: ‘She painted to find out what she felt’ https://t.co/hE5J5knOVH"
guardian,Digitisation of food vouchers for UK families left them hungry and desperate https://t.co/lr4KOln7Jl
guardian,Readers reply: why does tinned food come in a 400g can? https://t.co/ypM0VWkVXj
guardian,"Haunted Realism review – a queasy, intoxicating view of late capitalism https://t.co/LLWGfbc93s"
guardian,Indian state razes Muslim homes after riots over prophet remarks https://t.co/SbShfHNZME
guardian,In brief: How to Be a Writer; The Saint of Lost Things; Widowland – review https://t.co/OlkoSay5Al
guardian,"Hope of finding Dom Phillips alive has gone, say mother-in-law and wife https://t.co/G9oe6UquXe"
guardian,"Sherlock Holmes: A Study in Lipstick, Ketchup and Blood review https://t.co/hXvV10bIT0"
guardian,AOC refuses to endorse Biden for 2024 as Democrats doubt his ability to win https://t.co/dbbu9X978g
guardian,Former British soldier killed fighting Russian forces in Ukraine https://t.co/rqqvzee8pM
