handle,text
npr,"18 people with rectal cancer just experienced something of a scientific miracle: Every single one of their tumors vanished after an experimental treatment.
https://t.co/MJlCRColUG"
npr,"The Tony-nominated Broadway show ""A Strange Loop,"" about a gay Black man attempting to write a musical about a gay Black man, breaks ground by restaging and subverting popular representations of Blackness.
https://t.co/UYsRBV3h43"
npr,"Many Republican voters — even those who maintain Trump was a great president — are bucking his endorsed candidates in the primaries.
https://t.co/ghyjHq35Tj"
npr,"Watch the cast of ""A Strange Loop"" perform a special Tiny Desk concert to get in the mood for tonight's Tonys.
https://t.co/SucRol42Ta"
npr,"Ahead of tonight's Tony Awards, watch the cast of ""Company"" perform a special Tiny Desk concert 👇
https://t.co/yklUyV1Qip"
npr,"The 75th Tony Awards are tonight — and Jennifer Hudson is on the verge of reaching EGOT status.

Here's how to watch.
https://t.co/MfODdF29GW"
npr,"One of the most common ways warlords and terrorists are bankrolled around the world?

The plundering and sale of antiquities.
https://t.co/IWRXOTzCwH"
npr,"More than 25 cities had record-high temperatures on Saturday. California's Death Valley was the hottest place in the country at 122 degrees.

Palm Springs and Phoenix both hit 114.
 https://t.co/KvWc54SYdX"
npr,"The Washington Commanders' defensive coordinator, Jack Del Rio, has left Twitter after referring to the Jan. 6 Capitol attack as a ""dust-up.""

He also faces a $100,000 fine levied by Washington's head coach.
https://t.co/45AKyW3J8z"
npr,"Catarina Sanhala, 22, used to be a professional handball player in Angola. Now she’s part of a highly trained all-female de-mining squad working to rid her country of deadly landmines.

""It's a very different life,"" she says. ""But I wanted a challenge.""
https://t.co/TCOIm5O8x4"
npr,"JUST IN: Senate negotiators have reached a deal on a package of school safety and gun-related measures — with support from at least 10 Republicans.
https://t.co/bcXVfaaGPe"
npr,"In 1958, Richard and Mildred Loving were arrested in Virginia for being in an interracial marriage.

Their case went all the way to the Supreme Court. And exactly 55 years ago today, they won — legalizing interracial marriage in every state.
https://t.co/IVwTrxLW3H"
npr,"Anne Frank was born 93 years ago today.

She wrote her first entry in what would become ""The Diary Of A Young Girl"" 80 years ago this month.
https://t.co/7599ZTan8M"
npr,Join us tomorrow at 12pm ET for a recap of the 2022 Tony Awards on @TwitterSpaces. We’ll be joined by @JenniferVanasco and @jefflunden https://t.co/LgUpwWAq30
npr,"31 members of the white supremacist group Patriot Front were arrested near an Idaho Pride event. Police say they were found with riot gear, shields and a smoke grenade.
https://t.co/kKCVpUcv8I"
npr,"Sarah Palin is leading the pack in Alaska's special primary for U.S. House. 

The election later this year is for serving the remainder of the late Rep. Don Young's term. (@alaskapublic)
https://t.co/Jse7Fg6wtL"
npr,"Republican lawmakers in Texas are calling for more teachers to be armed. 

Most educators are emphatically against it. 

But the risky and controversial idea is catching on with rural schools — where the nearest officer may be miles away.
https://t.co/dLmL0dBKx8"
npr,A federal judge has ruled that Starbucks did not have to reinstate or give accommodations to three employees who claim they were retaliated against for organizing a union. https://t.co/6UpRwhUBaO
npr,"Ukraine's government is moving to legalize medical cannabis, in part due to the trauma wrought by Russia. https://t.co/9fwrsHl0XY"
npr,"Trying to get less screen time? 📱🙅 Here are 13 of our favorite tips on how to ditch your phone.
https://t.co/mBikleTGNP"
npr,"A school marshall described his training like this: ""During the shooting part, they would have a cardboard cut-out of a bad guy having a kid in a headlock, with a gun pointed at their head.""

""I've seen teachers fold right there,"" he said.
https://t.co/v2NzM9umjT"
npr,"How is inflation affecting you — and what are you most worried about?

👂 We want to hear from you. Fill out this form and a producer may reach out to you 👇
https://t.co/cYWEgS36xb"
npr,"These two organizations have almost identical names — but completely different missions:

""March for Life"" wants to overturn Roe v. Wade.

""March for Our Lives"" is pushing for more gun control laws.
https://t.co/RmXzJLawZn"
npr,"As part of Yellowstone's 150th anniversary, officials announced the 10,551-foot high peak formerly called Mount Doane is now First Peoples Mountain. https://t.co/Y0QKMDG2ps"
npr,"We dug into the phenomenon of Disney adults.
https://t.co/NhlSowjdoE"
npr,"Russia's invasion of Ukraine prompted McDonald's to withdraw from the country after more than 30 years. 

Now, the country is rebranding the golden arches.
https://t.co/WSulxq8dXF"
npr,"Mo Donegal is the winner of the 154th Belmont Stakes, the third and final race of the Triple Crown series of horse racing. https://t.co/HwQBeGKcm2"
npr,"In San Antonio, Texas – less than 90 miles from Robb Elementary in Uvalde, where 19 students and two educators were shot and killed – demonstrators marched to city hall. https://t.co/iC5pE6KbsV"
npr,"A baby who vanished after her parents' bodies were discovered in the woods in Houston in 1981 is alive and well.
https://t.co/Utyb2LFnc5"
