handle,text
theblaze,Country music star Toby Keith reveals he is battling cancer: 'I need time to breathe' https://t.co/logye1Rq3l
theblaze,A former Obama adviser says Joe Biden's age is a red flag https://t.co/p8zfCLCluw
theblaze,Biden plans to break with his own precedent as he moves closer to buying oil from Saudi Arabia https://t.co/hkQfiqNtBA
theblaze,20 senators announce framework of bipartisan deal for new gun control measures https://t.co/lhEjIvmyok
theblaze,Iran and Venezuela sign a 20-year agreement https://t.co/UZrcSlqgno
theblaze,Google-sponsored 'family-friendly' Pride event boasts provocative performance by 'Hydrated Queer Kitties' and drag queen storytime for children https://t.co/541e28qNW6
theblaze,A Google employee warns that the company's AI has become sentient https://t.co/Wm8SaChbVh
theblaze,"Analyst from one of Biden's favorite financial outlets says sky-high inflation costs American families an extra $5,520 a year https://t.co/FyZOLaqMLl"
theblaze,Intense bodycam video shows the moment police sniper takes out armed man holding baby hostage https://t.co/ONuk4BfOwS
theblaze,"Pro-abortion group hints at targeting Supreme Court Justice Amy Coney Barrett's children, church, and home https://t.co/k9IszI8egx"
theblaze,There will be a Sriracha shortage this summer https://t.co/Y1HObUJvQQ
theblaze,Senate Democrats are no longer pushing to raise the age requirement to buy an AR-15 to 21 https://t.co/SdvYFKXX4V
theblaze,Bill Maher hammers New York Times for burying Brett Kavanaugh assassination attempt https://t.co/tTqg4rpRlG
theblaze,Left-wing outlet tries to shame Tucker Carlson over Jan 6th coverage — it backfires SPECTACULARLY https://t.co/89vmzCha93
theblaze,Amazon's private messaging app is being flooded with images of child sex abuse https://t.co/cjVHisqtEo
theblaze,'Smash to smithereens': China threatens US with 'war no matter the cost' over Taiwan https://t.co/ZJfvNx3K7d
theblaze,Report: Recent years see a sharp rise in youth transgenderism https://t.co/znzEnZW1VB
theblaze,Justin Bieber postponed tour dates after the left side of his face becomes paralyzed https://t.co/iGju3ucBJU
theblaze,California pet shop bars gun control opponents from adopting animals and threatens to sue anyone who lies about supporting the NRA https://t.co/dVP6cYRQxT
theblaze,"Led by @conservmillen &amp; @SteveDeaceShow, conservatives slammed Fox News after they aired a lengthy segment praising a transgender teen as an ""inspiration"" for LGBTQ+ pride month
https://t.co/gaRAmRKY0F"
theblaze,Drag Queen Story Hour executive director says gun control is needed to protect children: 'Drag queens aren't going into schools to shoot kids' https://t.co/ChVLlCERYG
theblaze,Are you paying attention yet? This is American Marxism staring you in the face https://t.co/F4byg9lV4s
theblaze,". @marcorubio's chief of staff Michael Needham called out David Hogg: “Don’t lie again — we have receipts""
https://t.co/bfmoUVKHSP"
theblaze,Gov. DeSantis considers sending Child Protective Services against people exposing children to drag shows https://t.co/HITDg7tN7i
theblaze,Bill O’Reilly's epic rant about 'evil' Nancy Pelosi explains why Congress needs term limits https://t.co/8F43LyOkBj
theblaze,"Chris Wallace: ""First of all I think the committee has fallen prey to terrible hype, terrible overselling""
https://t.co/eWkSJIL0AE"
theblaze,Uvalde school police chief says he didn't know that he was in charge during the child massacre and explains why he didn't know about 911 calls from children inside https://t.co/QGoxrL0KQx
theblaze,Progressive Democrat Jayapal issues bizarre claim about poverty and gets scorched on social media https://t.co/8rDABb9J63
theblaze,"Treasury Secretary Janet Yellen responds to Cardi B's recession tweet, noting that she does not believe there will be a recession https://t.co/E0KzKIGtit"
theblaze,"As roaring inflation crushes Americans, Biden says battling inflation is his 'top economic priority' https://t.co/6trfhMnhIH"
theblaze,"Commanders' Ron Rivera fines coach Jack Del Rio $100,000 for 'extremely hurtful' comments about Jan. 6 rioting and BLM protests https://t.co/I5BEReXyxi"
theblaze,Drag Queen Story Hour executive director calls for gun control to protect children: 'Drag queens aren't going into schools to shoot kids' https://t.co/zMGGNcfB7c
theblaze,Progressive Democrat Rep. Jayapal issues bizarre claim about poverty and gets scorched on social media https://t.co/ECq8hqMoCi
theblaze,"Treasury Secretary Janet Yellen responds to Cardi B's recession tweet, noting that she does not believe there will be a recession and claiming that the economy is very strong  https://t.co/gqB9vzpkez"
theblaze,@LWCnewswire https://t.co/dh6jRbpAYJ
theblaze,Uvalde school police chief says that he didn't know that he was in charge during the horrendous child massacre and explains why he didn't know about 911 calls from children inside https://t.co/9iEYN4ipzE
theblaze,". @glennbeck and @BillOReilly discuss Pelosi's testy exchange with reporters who dared to ask about the safety of Supreme Court justices and their families
https://t.co/RUsqYmjqoH"
theblaze,Gov. Ron DeSantis considers sending Child Protective Services after people exposing young children to drag shows https://t.co/v20zQkCQ4W
theblaze,". @MattWalshBlog joined @WhitlockJason to discuss the film’s success and answer Jason’s one critique of the project: Where is Jesus?
https://t.co/Zsf7dGzFWm"
theblaze,JUST IN: The Dow falls 880 points as inflation hits a 40-year high.
theblaze,". @marklevinshow: ""This is a Democrat show trial""
https://t.co/AHzfaSdr9V"
theblaze,"As skyrocketing inflation continues to crush Americans, Biden says battling inflation is his 'top economic priority' https://t.co/SaeXn4CEkf"
theblaze,Fearless: Matt Walsh explains God’s absence in ‘What Is a Woman’ documentary https://t.co/GpvxJYvSe1
theblaze,"Commanders' Ron Rivera fines defensive coach Jack Del Rio $100,000 for 'extremely hurtful' comments comparing Jan. 6 rioting to the destruction from BLM protests  https://t.co/q49boodheO"
theblaze,Rapper who made music video about robbing ATMs arrested with crew that allegedly stole ATM cash: 'You shouldn't do stupid crap' https://t.co/W9pEeWsZSO
theblaze,Texas parents charged with murder after baby dies from ingesting meth https://t.co/So0MElpWSU
theblaze,CNBC editor tears into Biden over new sky-high inflation numbers: 'Maybe things would have turned out a bit different' https://t.co/CCZDVcyAql
theblaze,@SteveDeaceShow https://t.co/Y1s2gd6gPC
theblaze,Beto spotted on the campaign trail? https://t.co/VldXXpCkDY
theblaze,"Joy Behar might not act like a racist, but does she think like one? https://t.co/1PBlrbZH7D"
theblaze,"Social conservatives, led by @conservmillen &amp; @SteveDeaceShow, slam Fox News for airing pride month segment on transgender teen https://t.co/gaRAmRKY0F"
theblaze,https://t.co/qmB1I9PqXv https://t.co/cuYDflcRax
theblaze,"Ezra Miller accused of grooming activist since she was 12, parents say 'Flash' star manipulated young daughter with 'cult-like' behavior, drugs, and threats of violence https://t.co/Z5PFgen1O5"
theblaze,@alexnitzberg https://t.co/YbMKxS2DeD
theblaze,New WHO report reverses prior findings on COVID-19 lab-leak theory https://t.co/h8Ki1YgyH9
theblaze,"@Postmates @drevangoldstein @smartthrob Thoughts, @StuDoesAmerica ?"
theblaze,Mother whose son was shot 'point blank in the head' decimates Dem gun control agenda: 'I don’t need the government to save me' https://t.co/rc1x3M2qAa
theblaze,https://t.co/wFDBfGN3HT
theblaze,Joe Biden blames oil companies for record high gas prices. https://t.co/Ntv3pxawGN
theblaze,Joe Biden: “Putin’s Price Hike is hitting America hard!” https://t.co/W61PLlvJxs
theblaze,"High inflation is destroying Americans’ financial futures.The Biden administration claims none of it is due to its policies. Is that true? Take this quiz to find out.
https://t.co/Im42wmpPRi"
theblaze,'That's what happens': Police officer neutralizes man who 'aggressively' tried to enter elementary school https://t.co/xb1OKtzTto
theblaze,"""People are so incensed that women might lose the right to kill their children that they are actually going to kill the justices...and yet we are told that the biggest threat to this country is Trump supporters.""-@conservmillen

'Relatable' w/ @conservmillen https://t.co/BJ55TBx07M"
theblaze,Biden to lift COVID-19 test requirement for international flyers https://t.co/jE9nhMGQuK
theblaze,It's past time for Biden to admit it. https://t.co/wiHOg4Lk3N
theblaze,"Man brutally punches, stomps on woman 25 times in 'evil,' unprovoked attack; victim even screams she's pregnant to try to get him to stop — but he doesn't https://t.co/kxn1HEPd0x"
theblaze,'Chupacabra?': Mysterious figure caught on camera has Texas city officials seeking answers https://t.co/hR2SjGEg02
theblaze,Two workers rescued after falling into chocolate vat at Pennsylvania Mars Wrigley factory https://t.co/i4EZgyiAf9
theblaze,"Inflation rises to 8.6%, the highest level since 1981."
theblaze,"Ex-cop sentenced to 20 years in prison for sexually assaulting teens, feds say she lured a boy to have sex in a church parking lot https://t.co/kra37j7Pa1"
