id1,id2,party,handle,ntweets
0.25,0.35,nan,fifththird,1950
0.25,0.36,nan,citi,1524
0.3,0.37,nan,comericabank,1262
0.32,0.41,nan,askregions,1912
0.33,0.41,nan,bmo,1956
0.34,0.4,nan,bbva_usa,1876
0.35,0.44,nan,usbank,1819
0.36,0.42,nan,citizensbank,1893
0.36,0.43,nan,keybank,1198
0.37,0.4,nan,mandt_bank,1936
0.37,0.42,nan,morganstanley,1925
0.38,0.42,nan,bnymellon,1894
0.38,0.47,nan,capitalone,1919
0.4,0.45,nan,firstcitizens,708
0.41,0.45,nan,creditsuisse,1366
0.42,0.46,nan,goldmansachs,1801
0.42,0.46,nan,rbc,1627
0.42,0.46,nan,td_canada,1962
0.43,0.47,nan,jpmorgan,1757
0.44,0.47,nan,svb_financial,1433
0.46,0.47,nan,huntington_bank,1742
0.46,0.47,nan,wellsfargo,1551
0.48,0.48,nan,hsbc,1726
0.5,0.49,nan,firstrepublic,1994
0.51,0.51,nan,zionsbank,1686
0.52,0.53,nan,bokfinancial,529
0.53,0.52,nan,bofaml,1521
0.53,0.52,nan,suntrust,1686
0.54,0.51,nan,pncbank,1874
0.54,0.53,nan,northerntrust,1435
0.73,0.62,nan,bbt,1934
